id,comment,rating,review_date
61,muy bien gimnasio de barrio! buen ambiente buenas máquinas limpio en general solo le pondría 2 pegas la primera es respecto a sus clientes no es normal dejar las máquina cargadas con 100 kg a cada lado o las mancuernas tiradas por todos lados después de usarlas hay gente que no podemos descargar tanto peso o no tenemos la vista tan ágil como para encontrar las mancuernas por todo el gimnasio por otro lado y en víspera del verano no es normal el calor que hace a esto tiene que buscarle una solución ya o se abren las ventanas o se pone el aire o se busca una alternativa porque el otro día faltaba hasta oxígeno lo que es muy perjudicial para la salud no sé cumple lo establecido en el rite reglamento de instalaciones térmicas en los edificios en el real decreto 178 2021 es hasta denunciable espero una solución pronto o habrá que tomar medidas,3,Hace 6 meses
62,muy decepcionada con la gestión de las clases durante las obras que metan a 60 personas en la sala 3 para la clase de zumba no tiene nombre hay que estar con cuidado de no chocarte con los compañeros muy decepcionada,3,Hace 2 meses
67,tiene gran variedad de máquinas de calidad y actividades pero le falta aire acondicionado llevan un montón de tiempo sin arreglarlo y si lo está no se nota para nada al principio no se nota pero en primavera y verano junto con tanta gente es desesperante hay muchísima gente aunque puedes venir cuando no son las horas pico,3,Hace 5 meses
74,llevo yendo a este centro desde que era pequeña ya que iba a ese cole y por las tardes a natación de esto hace casi 30 años y ahora llevo yo a mis hijos me alucina que las instalaciones de los vestuarios infantiles estén exactamente igual que hace 30 años con la diferencia de que ahora ya las duchas están todas rotas lo cual es horrible para duchar a niños pequeños que se quedan helados de frio pagamos una cuota mensual no solo por las clases sino para que haya un mantenimiento decente de las instalaciones a determinadas horas ni siquiera hay sitio para todos los niños en el vestuario no hay taquillas para dejar las cosas en fin fatal todos los padres estamos súper descontentos con esto no todo es malo yo también hago uso del gimnasio y las clases colectivas y el resto de instalaciones salas máquinas vestuarios de adultos están muy bien los monitores son geniales tanto de la piscina de los peques como de las clases colectivas de adultos por favor espero que a la mayor brevedad posible se le ponga solución a los vestuarios infantiles aunque necesitan una reforma integral al menos empezad cambiando las duchas que no es tan caro,3,Hace 11 meses
108,positivo buena reforma en la zona de pesas personal muy atento y cercano negativo demasiada gente la zona de baños vestuarios y sauna al menos de hombres está muy dejada la piscina suele esta turbia y el agua fría,3,Hace un año
122,actualizacion han cambiado tanto la cuerda como las agarraderas solo faltan los cojines de los bancos… el gimnasio tiene muy buenas instalaciones y ahora en verano están de obras pero para mi gusto eso no tiene nada que ver con algunas maquinas que tienen sobre todo el tema de pesas y poleas creo que la última vez que vine a este gimnasio hace 20 años tenía las mismas poleas y sistema de pesas como se ve en las fotos solo hay un agarre de cuerda y solo hay que ver como está la mayoría de los cojines de los bancos están destrozados y los agarres de goma igual dan pena… imagino que cuando acaben las obras habrá cambios notables pero no hay porque esperar para cambiar el material deteriorado mas que nada porque el coste es el mismo por otro lado destacar el buen estado de las instalaciones y la limpieza y la piscina es fantástica y todos los empleados de las instalaciones,3,Fecha de edición: Hace un año
127,llevo muchos años en ese gimnasio satisfecha con los monitores no así con la limpieza tatami sucio con restos de comida y bebida aseos vestuarios mujer sin jabón en los lavabos falta de mantenimiento en los mismos entre clase y clase y salida de piscina a primera hora muchos días no hay papel higiénico deberían vigilar mucho ese mantenimiento gracias,3,Hace un año
128,espacio muy reducido para la cantidad de socios que hay poca ventilación en sala fitness la aplicación nueva del propio gimnasio a medias se sale de la aplicacion hace lo que le da la gana y no se puede entrenar en condiciones y ya que han cogido medio pabellon para clases en el campo de baloncesto del instituto porfavor darle mantenimiento porque no sirve para nada todas las semanas con problemas yyo no voy a un gimnasio para esto despues de 4 años me he vuelto apuntar y la verdad que deja que desear bajando la calidad por año espero que cambie y mejore,3,Hace un año
141,el gimnasio podría estar fenomenal por qué cuenta con todo tipo de salas incluyendo piscina pero existe gran dejadez en cambiar y arreglar material que se va estropeando por el uso las máquinas son bastante viejas y antiguas y la cuota es alta creo que necesita una renovación para volver a tener a sus clientes satisfechos espero tenga el detalle y se pongan manos a la obra,3,Hace 7 años
144,estoy en aquagym desde el año pasado el agua de la piscina tiene problemas muy a menudo exceso de cloro tonos verdes temperatura etc las duchas del vestuario de socias son pocas y no funcionan bien el agua sale fría en muchas de ellas el encargado del recinto no hace caso de las distintas reclamaciones el lugar sería de primera si se solucionasen estos problemas,3,Hace 2 años
222,desmejoro bastante y sigue manteniendo los mismos precios los monitores siempre están sentados detrás de un escritorio y si les preguntas algo te dan cualquier respuesta por salir del paso el personal de la piscina si es bastante atento y servicial,3,Hace 5 años
230,estuve en 2016 y no está mal depende del profesor que cogieras podías sacarle más o menos partido a tu entrenamiento algunos te mandan a que directamente te leas las instrucciones de la máquina y otros te explican cómo adaptarla como usarla qué ejercita y otra similar por si está ocupada para que otros el desnivel en las clases lo mismo algunos profesores parecen que van para hacer ello ejercicios y en otros el profesor atiende a la diferencia de niveles algunas máquinas esaban muy usadas y ya empezaban a perder las almoadillas o no tenían el enganche y como en todos a ciertas horas es imposible coger algunas la sauna es muy pequeña relación precio no es el más economico hay otros iguales o inferiores pero sin piscina si dobló usas como yo quizás te merece la pena estoy probando otros,3,Hace 8 años
238,es una pena que tenga tanpocas clases colectivas apartir de las 20 00 las personas que llegamos a esa hora no tenemos donde elegir por ejempolo hoy fui a pilates y me encantó el problema que solo podré ir un día a la semana ya que no hay mas que los lunes a las 20 20 tendremos que buscar en otros gym los usuarios que llegamos tarde y nos gustan las clases colectivas,3,Hace 2 años
249,hay mucha acumulación de gente los días festivos ya que solo abre por la mañana y es cuando más gente va porque se libra debería extenderse el horario a como lo tienen los sábados,3,Hace un año
257,esta muy bien pero desde él covid han quitado muchas clases y se han cebado con él aquagym de la tarde dejando solo 1 día y otras clases como ciclo que no va nadie lo dejan espero solucionen lo del aquagym de la tarde y pongan mas dias,3,Hace 5 años
270,me gustaria que no censuraseis mi queja formal de la gestion de politica de personal en el centro deportivo ya que un año más volveis a despedir a los monitores con sobrada experiencia y rendimiento en las clases que están impartiendo,3,Hace 7 años
287,para mí lo mejor son los monitores y la sala de fitness la piscina no la conozco actualmente hay una parte del gimnasio que está en obras,3,Hace 2 años
298,aseguraros muy bien antes de firmar porque modifican horarios actividades y disponibilidad de espacios de manera unilateral y sin previo aviso especialmente en la piscina,3,Hace 4 años
325,gimnasio bastante amplio con piscina muy grande y bastantes clases colectivas,3,Hace 4 años
