id,comment,rating,review_date
20,el personal es correcto y destaca mucho la limpieza se preocupan por seguir las indicaciones de la comunidad de madrid sí sugeriría que recuerden a todos los socios absolutamente todos los socios las buenas normas de convivencia si un socio ocupa tres e incluso cuatro máquinas que se le diga igual que se recuerda al resto el uso de mascarilla o la toalla en respaldos y máquinas intentad que todos los socios se encuentren en igualdad gracias por su intento siempre de mejorar últimamente se ve todo más sucio papeleras rotas duchas sucias y el agua o te quemas o te hielas muy low cost sigue habiendo gente que ocupa con toallas más de una máquina qué insolidaridad!! sugiero megafonía prohibiendo dicha práctica e insisto en la igualdad y coherencia cuando algunos monitores vigilan y hacen rondas por el gimnasio llevamos meses viendo duchas estropeadas en el vestuario masculino aparte del hilo musical que es más propio de un responso laico por favor algo más de vida a la música en el vestuario gracias,3,Fecha de edición: Hace 4 años
31,muy grande el gym las máquinas en buen estado todo era muy bonito,3,Hace 4 meses
33,el gimnasio en sí está bien y el personal es muy amable y atento mi queja está en la poca cantidad de máquinas que hay que no sean de peso libre y las pocas que hay siempre hay mínimo tres fuera de servicio pueden pasar meses sin que se arreglen por otro lado la limpieza de los baños los fines de semana es prácticamente nula precisamente siendo los días que más gente va yo vengo del de ventas que era mucho más amplio y para el precio que se paga por este gimnasio espero algo más,3,Hace un año
34,estoy esperando con ansías que abran otro gimnasio por la zona para cambiarme entiendo que es un negocio pero es inaudito que haya más gente dentro del gimnasio que máquinas y equipos para los usuarios además muchos se dañan y pasan meses sin repararlos en cuanto a entrenar fuera algo que me encantaba me gustaría saber si los de las clases de crossfit pagan un extra para que los que estamos entrenando fuera nos tengamos que quitar para que ellos entrenen y ocupen todo el espacio sé que es una actividad que lo amerita pero con tanta gente y poco espacio creo que sobran bastantes tumbonas y que las clases de crossfit deberían tener un lugar específico para que los demás podamos continuar con nuestro entrenamiento en paz,3,Fecha de edición: Hace 2 meses
40,es un buen sitio pero con algunos fallos para los que entrenamos por la noche por cuenta propia se nos hace difícil tener disponibilidad de material en la parte de fuera ya que hacen clases de crossfit y se utilizan todo ojalá pudiera entrenar en otro horario pero mi trabajo no lo permite la limpieza del baño de mujeres supongo que tiene culpa compartida con las chicas que no saben cuidarlo tirando pelos en cualquier parte papel sucio por el suelo y algunos malos olores de la papelera me da pena que no podamos cuidar nuestro lugar entre todos porque al final pagamos 40 euros por mes para tener un servicio exclusivo y excelente,3,Hace un año
43,grande y completo y con variedad de clases sin embargo las personas hacen mal uso de sauna y baño turco calzado sobre los asientos no usan la toalla ponen aceites esenciales y nunca hay nadie vigilando esto es desagradable,3,Fecha de edición: Hace 4 meses
64,petadísimo siempre al menos el personal es agradable capaz,3,Hace un mes
66,es cierto que el gimnasio está limpio ordenado que es de calidad sin embargo para el tamaño y la cantidad de las máquinas me parece un poco excesivo el precio por persona el basic de pacifico o el basic de buenos aires son el doble de tamaño y pagas 30€ por 2 personas aquí pagas 37€ por una sola no hay planes de parejas no puedes pagar días sueltos pero bueno sus razones tendrán en líneas generales esta bien,3,Fecha de edición: Hace un año
73,solo puedo hablar desde mi experiencia y para mi no importa que esté lleno en ocasiones es normal no puedes controlar los horarios de los demás lo que sí creo que es importante el método de limpieza que se tenia antes con las máquinas que te permitía limpiar con facilidad eso para mi es algo muy importante supongo por reducir costos y demás pero valía la pena yo me inscribí desde que abrió veo muchos comentarios sobre los monitores no tengo experiencia siempre he sido muy independiente pero si creo que si quieres empezar y el gimnasio te ofrece ese servicio debe ser concorde a lo que se ofrece no puedo hablar más de ese tema de resto me parece bien por mi que vuelvan los métodos de limpieza para las máquinas que valen esas dos estrellas que faltan si no sería de 5,3,Hace 2 años
78,un gimnasio con tanta afluencia de gente necesita más mantenimiento las máquinas llevan 1 mes rotas en los últimos meses hay demasiada masificación,3,Hace 8 meses
