id,comment,rating,review_date
1,ya se que no es el sitio pero es lo mas cercano disculparme pero llevo años de verdad viendo como esa arqueta pierde agua en verano y en invierno derroche de recursos de los mas preciados el ag ua se nota en la carretera mojada y con dos ruedas siempre piensas que patinas lo pueden arreglar antes de esto avisé al ayuntamiento pero pasas los años y las misma situación los jardineros que cuidan la zona parece que no solventan le importa esto a alguien mas ?,1,Hace una semana
2,excelente gimnasio tiene muchas clases bastantes máquinas un equipo increíble y amable y las instalaciones siempre estan limpias,5,Hace 4 meses
3,el gimnasio es genial los monitores súper motivados me encanta cuando de vez en cuanto hacen iniciativas como semana de y hay clases especiales se nota que siempre trabajan en mejorar la experiencia tengo carné wellnes y puedo ir a otros gimnasios no solo dream pero aquí es donde más disfruto,5,Hace 2 meses
4,me gusta tiene muchas zonas bastantes actividades está siempre limpio y ordenado pero deberían haber coach para informar por la mañana dicen que solo hay por las tardes me falta describirlo solo eso por todo lo demás está súper bien,4,Hace 3 meses
5,cambio mi opinión previa porque descubrí que tenian un gimnasio prácticamente completo en el exterior que antes no había y eso ha sumado muchos puntos al tener una alternativa cuando las maquinas de la sala interior se están utilizando a parte la maquina expendedora de platos precocinados healthy la utilizo mucho cuando no tengo tiempo de cocinar y están buenisimos esto ya lo convierte para mí en el mejor gimnasio de moratalaz actualmente se nota que escuchan a la gente nos cuidan y actúan rápido un saludo,5,Fecha de edición: Hace 3 semanas
6,en la zona de peso libre los rack de sentadillas tienen mangos en la parte superior para hacer dominadas pero estan pegados al techo y no se pueden usar bloqueando inutilmente tres lugares para hacer dominadas por otro lado solo hay una barra ez en todo el gimnasio esperaria más por lo que cuesta el gimnasio,2,Hace un mes
7,pues porque no puedo poner o he asistido a una clase de prueba de boxeo y el monitor no ha podido ser más desagradable en vez de motivar y enseñar desmotiva y juzga animo a los directores del gimnasio a que comprueben como este monitor en vez de fomentar en las clases de prueba que la gente quiera apuntarse lo que hacen es espantarles y les quiten las ganas de continuar con la clase evidentemente no pienso apuntarme a este gimnasio ni recomendarlo a nadie,1,Hace 2 meses
8,no paran de subir el precio de la cuota pero no mejora la experiencia maquinas siempre rotas y cuando las arreglan después de 3 semanas o más se vuelven a romper a los pocos días la música es para no volver y ningún monitor se te va a acercar para decirte si estás haciendo el ejercicio mal,2,Hace 3 meses
9,soy dreamfiter de barcelona y me ha en encantado este gym un poco raro por las salas a diferente nivel pero uno se acostumbra la zona exterior con maquinas y material es espectacular sauna y baño vapor ideales para despues de tu entreno!,5,Hace un año
10,yo entreno en varios gimnasios de la cadena dreamfit y este es uno de mis favoritos maquinaria bastante nueva y bien cuidada y muy buena zona de peso libre también dispone de una terraza muy buena con todo tipo de material para entrenar al aire libre e incluso tumbonas para relajarse un rato la única pega que encuentro es que en este establecimiento en concreto tiene muchas entreplantas lo que puede ser un lío para la gente nueva aunque el gimnasio es completamente accesible para personas con movilidad reducida y elevadores para sillas de ruedas hace 2 meses habría dicho que a este gimnasio le hacía falta alguna máquina más de aducciones y abducciones ya que esa zona en concreto solía estar bastante concurrida pero este problema ya se ha solucionado ya que han instalado dos nuevas máquinas muy buen gimnasio el que viene aquí y no se pone fuerte es porque quiere con todas las facilidades que tiene,5,Hace 5 meses
