id,comment,rating,review_date,sentiment
2,hola hace dos meses puse una reseña que no tratáis a todo el mundo por igual a la hora de cobrar todos pagamos igual pero los que vamos a mediodía tenemos mucho menos derechos que los que van por la mañana o por la tarde me dijeron que lo estabais mirando para darle solucion pero veo yo que no hay solución ninguna solo estáis apañados para cobrar todos los meses la cuota pero soluciones ninguna es una vergüenza de gym los que vamos a mediodía pagamos lo mismo y no tenemos ni clases de spinning ni muchas otras clases hay unos saltos muy grandes en los horarios de las clases es lamentable y vergonzoso y sigue pasando el tiempo y es que no hacéis nada de nada no recomiendo el gimnasio solo tenéis que hacer es mirar la reseña si veis todas las quejas que hay y no hacen nada de nada mes tras mes un saludo,1,Fecha de edición: Hace 2 semanas,negative
3,ya esta bien de seguir siendo el peor dreamfit de madrid y no es una opinión es un hecho faltan máquinas que todos los demás tienen remo en t peck deck no paráis de subir la mensualidad sin meter nada nuevo bueno perdón algun agarre cada 2 años que nadie ha pedido ni nadie quiere parece un gimnasio alejado del resto y si no podeis ir a cualquier otro y ver la brutal diferencia con este de verdad lo digo meter maquinas nuevas ampliar el espacio y en general hacer que parezca un dreamfit como los demás,1,Hace 2 meses,negative
4,lo del aforo ha llegado un punto insostenible llevo 4 5 años en este gimnasio más de 3 de ellos post pandemia y ayer me tuve que dar la vuelta después de haber ido debido a toda la gente que había entiendo que como al principio hubiera 2 3h al día en las que no se pudiera entrenar por la cantidad de soci s presentes pero poco a poco esa hora punta se ha ido convirtiendo en algo absurdo antes se podía entrenar a cualquier hora porque aunque hubiera mucha gente no era algo prohibitivo aún así si querías entrenar con más tranquilidad lo podías hacer por la mañana temprano 6 00 10 30h después de comer 14 30 17 30h y por la noche 20 30 23 00h ahora la situación es muy diferente en las horas de menos afluencia se tiene el aforo que antes se tenía en las horas de casi máximo aforo y en las horas de máximo aforo ya no se puede ni entrenar además ahora los horarios de entreno tranquilo han cambiado por la mañana 6 00 9 30h después de comer 15 00 17 30h y por la noche ya no se puede entrenar si quieres estar más de 40 minutos yo no puedo ir después de comer porque tengo universidad muchos días no puedo ir tampoco por la mañana porque no hay tiempo físico para hacerlo antes de tener que irme de casa y ahora por la noche tampoco se puede en fin daremos algo más de margen pero todo apunta a que nos vamos a cambiar al miami es mucho tiempo de inacción y no sé si realmente merece la pena dar otra oportunidad pero tienen que anunciar soluciones ya yo entiendo que no se apliquen de inmediato este tipo de medidas por logística pero hace falta regular el aforo propongo inspirado en varias reseñas de soci s hart s de esta situación tener que reservar antes de ir al gimnasio si por lo que sea un socio reserva no va y no avisa con suficiente tiempo podría haber penalizaciones de un par de días sin poder acceder al gimnasio lo que está claro es que hay que regular la afluencia de gente y la reserva previa antes de acceder a las instalaciones no es ninguna tontería un saludo,2,Hace 2 meses,negative
5,un gimnasio con buena equipación tal vez la única pega que le pongo es la cantidad de gente horas punta por otra parte a favor decir que el personal es de calidad sobretodo un especial agradecimiento hacía valeria que está en recepción es un encanto me parece que por personas como ella los gimnasios como este funcionan gracias valeria,4,Fecha de edición: Hace 3 meses,positive
6,en las tardes es inviable entrenar por el aforo desbordante que tiene y cada año parece que va a más una pena porque el gimnasio está guay,2,Hace un mes,negative
7,el gimnasio me gusta y cuenta con casi todo lo necesario a nivel de máquinas para entrenar pero la zona de peso libre es enana masificada y con la problemática de no poder tirar el peso al suelo cuando trabajas con cargas sub máximas es un riesgo que existe y deberían mejorar la zona por salud de los clientes siento decirlo así pero prefiero romper el suelo a romperme la espalda o peor el ambiente es bueno y siempre alguien dispuesto a ayudar porque los monitores aún viendo gente nueva con mala técnica no se les ayuda a mí no me gustaría haber estudiado para colocar discos sino para enseñar ayudar corregir y ser parte del proceso de aquellos que lo necesitan por último no entiendo por qué no se puede usar magnesio o dejar una pequeña bolsa con el material de entrenamiento en la zona de trabajo ya que es mejor dejarlo así que tirado por el suelo como todo está bien pero hay que buscar mejorar gracias,2,Hace 4 meses,negative
8,llevo 12 años se nota que estoy agusto pero como es lógico pondría como negativo el aforo en mi horario de tarde noche que es excesivo hay demasiados socios también habría que cuidar más el estado de las máquinas las cuotas son para que los socios podamos disfrutar de su uso y no esperar varias semanas si están estropeadas hacer hincapié a los más jóvenes en el buen uso del material a disfrutar del gym otros 12!!,4,Fecha de edición: Hace un año,positive
10,es el peor dreamfit con diferencia tienes menos máquinas menos espacio y más gente que en los demás de madrid por el mismo precio os aprovecháis de que no hay competencia en la zona y no nos podemos ir a otro para no mejorar el servicio o igualar la calidad del resto es una vergüenza,1,Hace un mes,negative
11,buenas noches como miembro del gimnasio me gustaría expresar mi preocupación sobre el notorio deterioro de las infraestructuras y la calidad del servicio en general a continuación detallo algunos de los puntos más destacados que me gustaría que se tomaran en cuenta 1 estado de las instalaciones he notado un evidente deterioro en las infraestructuras como el suelo que está siendo sostenido con cinta adhesiva lo cual resulta no solo poco estético sino también inseguro además el aire acondicionado del baño no funciona correctamente y las instalaciones en general muestran signos de desgaste significativo 2 carteles de elemento en reparación algunos elementos del gimnasio llevan más de un mes con el cartel de en reparación esto es inaceptable ya que no se está proporcionando el servicio que los socios estamos pagando 3 equipos obsoletos las máquinas de ejercicio son antiguas y en muchos casos presentan fallos de funcionamiento este es un aspecto que no ha cambiado desde la apertura del gimnasio lo que limita la experiencia y eficacia del entrenamiento 4 aforo y horarios en determinadas horas el aforo del gimnasio es excesivo lo que provoca incomodidad y dificulta el acceso a las máquinas y áreas de entrenamiento 5 falta de instalaciones comparables a otros centros de la cadena en comparación con otros gimnasios de la misma cadena del dreamfit de valdebernardo las instalaciones de este centro son deficientes por ejemplo no contamos con un baño de vapor y la sauna cuando está disponible tiene varios parches 6 condiciones de limpieza la limpieza general del gimnasio es insuficiente la higiene en las instalaciones que debería ser una prioridad no cumple con los estándares básicos que uno esperaría en un centro de estas características finalmente me gustaría expresar mi preocupación respecto a la posible subida de precios ya que considero que con las infraestructuras actuales y el nivel de servicio no es adecuado aplicar un incremento sin antes realizar las mejoras necesarias en las instalaciones otros gimnasios de la misma cadena tienen infraestructuras más modernas y mejor mantenidas lo cual hace aún más notoria la diferencia espero una pronta respuesta sobre las acciones que se tomarán para resolver estos problemas ya que como miembro fiel me gustaría seguir disfrutando de un servicio que esté a la altura de lo prometido atentamente,1,Hace 11 meses,negative
12,estoy buscando un gimnasio en esta zona lo único que veo positivo y cubre mis necesidades es la hora de apertura y el fácil aparcamiento por lo demás y viendo la gran cantidad de quejas que hay en cuanto a mantenimiento y deterioro de las instalaciones y su maquinaria creo que no merece la pena ni ir a visitar las instalaciones por no nombrar los comentarios negativo que se pueden leer en cuanto a la mala educación del personal de recepción con mi comentario sin ser cliente busco una reacción por parte de la cadena dreamfit es una pena que teniendo centros envidiables y con tan buena reputación como moratalaz y otros más que tenga este centro tan descuidado causando tan mala impresión y lamentable imagen perdiendo futuros clientes como es mi caso de verdad que estaba decidido a darme de alta en este centro pero después de leer los comentarios he perdido todo mi interés una pena tu respuesta no responde a mi queja los servicios están claros en la página web lo que no está claro es que la cadena con las salas más grandes de españa ponga remedio a las quejas de sus clientes los mismos que pagan mes a mes cada cuota me gustaría ver una solución en las malas maneras con las que el personal trata a los clientes y en un mantenimiento de calidad y funcionamiento del material me gustaría tener al 100 este centro para poder usar sus servicios pero no es así una pena que tu respuesta sea la que es,1,Fecha de edición: Hace 7 meses,negative
13,buen gimnasio con última maquinaria y muy buen servicio de profesionales gracias,5,Hace 3 semanas,positive
14,la variedad de máquinas está bien pero deberían controlar el aforo es imposible entrenar prácticamente durante todas las horas del dia y por la tarde ni te cuento intentas ir a liberar la mente pero acabas con más estrés teniendo que compartir esperar en fin una pena,1,Hace 4 meses,negative
15,cada día peor servicio maquinas estropeadas subidas de cuota aire acondicionado inexistente en vestuarios y clases y cada vez menos clases colectivas la penúltima la clases de spinin de los domingos 11am y las dos últimas clases de ritmos latinos de los sábados de las 10h y 11ham muchas gracias a la dirección y responsables del gimnasio,1,Hace 3 meses,negative
16,me está decepcionando mucho este gimnasio después de muchos años no piensan en los clientes a la hora de cambiar las clases yo salgo de trabajar a las 18 y por ejemplo han quitado una clase de glúteo a las 18 45 para meterla a las 18 ya está bien que os estáis riendo de nosotros y no nos dais opciones otro día me parece que no lo estáis haciendo nada bien y así creerías mala fama nada contenta nos estáis cambiando las clases cada dos pot tres nos tenemos que acoplar pero no pensáis en nosotros,1,Hace 7 meses,negative
17,muy buen equipamiento márgenes de horarios bastante amplios por las tardes un poco saturado con sauna y solarium,5,Hace 10 meses,positive
18,de los gimnasios que e ido acá en madrid debo decir que dreamfit se adapta más a mis necesidades como usuario y no lo cambio por nada siempre huele bien y está limpio todo su personal de trabajo siempre son muy amables cada día para mi vale la pena el trayecto que hago para ir a entrenar ya que vivo en el centro de madrid para mi 100 10,5,Hace 2 años,positive
19,1 2 1⃣2⃣3⃣ let s go!!!! una gran opción para volver al gym!! ‍gran equipamiento con muchas máquinas de última generación y mucha variedad entrenas sin problema y sin esperas!! está todo superlimpio!! que sepas que tendrás muy buen ambiente dentro del gimnasio con un horario muy amplio incluyendo sábados y domingos!! muy top!! si estás buscando gym no lo dudes!!! dreamfit valdebernardo es tu decisión!! aciertas fijo!! de 10!! nosotros acabamos de empezar y estamos contentísimos l s monitor s tanto en sala como en clases son buenísim s!! muy bien explicado todo y entre el músicon que ponen y la energía que trasmiten te transportan al escenario principal del mejor festival del mundo quemando adrenalina y muchas calorías train today!! sweat tomorrow!! unite forever!!,5,Hace 2 años,positive
20,acabo de tener una experiencia horible en la recepción la chica en la recepción me quiere cobrar eur 0 50 por olvidar la pulsera y luego cuando digo que me parece un poco exegerado cobrar eur 0 50 me empieza a hablar con falta de respeto porque tiene el derecho porque viene en el contrato y si no me gusta me puedo dar la baja pedí la hoja de reclamaciones porque no me parece bien tratar a clientes asi independiente que viene en un contrato o no tarda casi 10 minutos en buscar una hoja de reclamaciones y luego ni me pregunta si aun quiero entrenar cuando digo que quiero entrenar casi me tira la pulsera sin indicarme como entrar con una pulsera prestada me parece una verguenza un servicio asi con las subidas exegeradas que hacen cada año sin tener un mejor servicio llenando el gimnasio sin limite hasta que la gente ni puede entrenar normal porque todas las maquinas estan ocupadas ademas la maquina para entrar tambien falla cada vez tambien van a devolver eur 0 50 por cada vez que no de puede entrar o salir normal por falla de la maquina? quizas con lo que cobran deberian de tener una tecnologia de entrada mas moderno sin tener que llevar un objeto para entrar este gimnasio abusa porque no hay muchos gimnasios alrededor es de verguenza,1,Hace 9 meses,negative
21,me parece fatal me quite porque en este gimnasio hacían step las clases estaban llenas y la monitora aparte de ser una gran profesional era una chica encantadora animaba las clases no entiendo el porqué lo quitaron,1,Hace 6 meses,negative
22,gimnasio bastante grande variedad amplia de máquinas fitness technogym buen ambiente lo bueno horario amplio muchas taquillas y máquinas nuevas o casi nuevas lo malo 4 cintas que no funcionan en pleno día festivo lleno de gente y solo 2 bicis con respaldo en gym más baratos tienen al menos 4 para el precio que tiene debe mejorar en cantidad de ciertas máquinas,4,Hace 6 meses,positive
23,actualización 30 06 2024 no os lo vais a creer arreglaron por fin las duchas ahora están todas funcionales aunque alguna cada pulsación del boton aguanta apenas 5 segundos echando agua y hay que estar dandole continuamente para ducharte pero nada fuera del raterio esperado ahora en pleno verano se ha debido romper el aire y han puesto dos pingüinos para intentar paliarlo una chapuza que da vergüenza y llevamos ya un par de semanas sufriendo mas calor en el vestuario que incluso en la calle sueltan un poco de fresquito a cambio de echar calor por todo el resto de ventilaciones del propio vestuario adjunto fotos porque es de traca actualización 3 21 03 2024 despues de hojas de reclamacionws y de lavarse las manos unas cuantas veces a proposito conseguimos que arreglasen las duchas pues bien lo justo han durado hoy han amanecido otras dos clausuradas vuelve a estar el suelo del vestuario encharcado y siguen faltando toalleros y bandejas para los jabones en las duchas ah y empieza a haber una peste por falta de ventilación importante especialmente en los baños veremos como de inaguantable es ahora en verano porque no creo que les preocupe mucho visto lo visto actualización 2 las duchas siguen exactamente igual o peor si cabe esto escribiendo 3 meses despues de la ultima actualización y ni se sabe desde la primera el gimnasio es perfectamente consciente de los problemas pero parece que directamente pasan actualización las duchas cada vez peor con suerte funcionan la mitad y la otra mitad están o cerradas con cinta o caen cuatro gotas con las que no te puedes duchar llevamos asi meses y la verdad es que es penoso cierto es que el resto de servicios están bien sin contar que algunas semanas se rompe alguna maquina y nos tiramos sin ella un buen tiempo una vez mas el dreamfit mas desatendido el dream fit mas antiguo y mas desactualizado probablemente de todo madrid no esta mal pero a la publicidad que veas por ahi restale unos cuantos servicios y sumale que el agua caliente va cuando quiere y a tirones y que clases hay las justitas si no tienes muchas opciones de horarios no esta mal aun asi pero podrian mimarlo bastante mas,1,Fecha de edición: Hace un año,negative
