id,comment,rating,review_date
1,gimnasio situado en la primera planta del c c valdebernardo el tamano es adecuado los monitores son atentos y explican correctamente variedad de horarios de apertura aforo alto en las horas punta el precio mensual ronda los 40€ mensuales dispone de aparcamiento en el centro comercial tanto en exterior como cubierto es accesible por sillas de ruedas se dispone de escaleras mecánicas y ascensor,3,Hace una semana
9,el gimnasio al principio estaba muy bien relación calidad precio llevo diez años yendo a este gimnasio y los monitores son buenos profesionales desde hace un tiempo a esta parte las instalaciones no están cuidadas el gimnasio presenta humedades falta de aire acondicionado en algunas salas duchas con falta de presión algunas máquinas están durante días sin reparar lo peor de todo es la sauna está muy sucia siempre tienes que estar con la chanclas puestas por temor ya que las maderas están llenas de porquería que pena que se vaya degenerando tanto en tan poco tiempo espero que tomen buena nota y solucionen todo esto gracias,3,Hace 6 meses
31,no está mal pero aceptan mucho más aforo del que cabe,3,Hace 3 meses
49,es muy buen gimnasio en instalaciones maquinas la equipacion en general y sobretodo los empleados pero he de decir que está masificado hay días en los que no se puede entrenar hay que pedir la vez en una cola de 3 personas para poder hacer press de banca jalones remos prensa así con todos los aparatos de ejercicios básicos y los que no de musculación media vuelta y para casa parece una discoteca entiendo el indicador de aforo a través de la aplicación pero es un aforo legal cantidad de personas por m2 pero el aforo necesario abría que detallarlo y estimarlo a la instalación y uso de la aparamenta que seguro que se reduce por lo menos en 1 3 no es una crítica mal intencionada es dar una idea a través de aquí y que no todo es el que la organizacion gane dinero a través de multitud de socios los que nos lo tomamos en serio preferimos pagar más y que se pueda entrenar pero no este despropósito de cantidad de gente repito que es una crítica constructiva para la mejora y calidad del servicio sugerncia ahora que me acuerdo falta una máquina que gusta mucho en general que es la de hacer hombro posterior y aperturas de pecho en la misma máquina sería una triunfada tener por lo menos una mejor 2 porque ya digo que esa gusta mucho saludos,3,Fecha de edición: Hace un año
70,gimnasio masificado donde es casi imposible encontrar una máquina libre una pena ha ido a peor… quitan las clases de taller de espalda sin motivo había bastante afluencia,3,Fecha de edición: Hace 5 meses
73,llevando 12 años y viendo como ha ido cambiando he de decir que el gimnasio está bien en cuanto a instalaciones pero ya es difícil de justificar la subida constante del precio sobretodo porque el ubicado en valdebernardo se ha quedado muy atrás con respecto al resto de la cadena tanto por espacio como por variedad de máquinas no teniendo plataforma de peso muerto pero sí problemas con el pavimento lo que hace que sean los socios quienes tienen que adaptarse poniendo trozos de suelo para apoyar la barra una medida un tanto cutre teniendo en cuenta que otros como el de ventas tiene tres plataformas especiales para ello al menos se podría justificar la subida de precios acondicionando el solarium con una zona de etto funcional como la de moratalaz no por traer 2 máquinas y un trozo de césped que se emplea para estirar y hacer abdominales no dirigiendo a la los usuarios a la zona acondicionada para ello a esto hay que sumarle constantes problemas en los tornos de acceso temperatura de la instalación inadecuada muchas veces cajones de saltos que se rompen y no se sustituyen el aforo tambien parece una problemática en ciertas horas del días pero hay que entender que si está saturado y se baja la edad de acceso es algo inevitable los monitores han dejado de centrarse en corregir a los usuarios para estar pendientes de quien no parchea el suelo haciendo peso muerto o deja algo descolocado en otros gimnasios de la cadena sí que hay una atención y una corrección a los clientes lo cuál es de agradecer si esta cadena ha dejado de ser low cost para pasar a una gama más alta tiene que verse reflejado tambien en sus servicios no solo en la tarifa y desde luego se deberían homogeneizar los mismos,3,Hace un año
87,la verdad que es una pena que hayan tomado la decisión de suprimir la clase de step sin tener en cuenta que es una clase con bastante asistencia la excusa que es el único centro dreamfit de toda españa que la imparte sorprendente decisión empresarial y lo que opinan los usuarios? no cuenta? bravo para el cerebro que lo ha decidido punto muy negativo que se suma también a la brillante decisión de suprimir la clase de zumba ahora latin o urban dance de los domingos por la mañana cuando se llenaba siempre otra brillante decisión no se entiende que en todo el fin de semana no haya ni una sola clase de dance será que interesa más tener petada la sala y cada vez menos clases colectivas que interesan y se llenan bravo!!!,3,Hace un año
97,últimamente siempre muy lleno,3,Hace 3 meses
110,soy usuaria de este gimnasio desde hace más de seis años he ido observando como ha ido bajando la profesionalidad de los monitores y el deterioro del las instalaciones hay bastante masificación por las tardes se eliminó un club de corredores y un entrenamiento funcional que dinamizada y fidelizaba a un gran número de usuarios las instalaciones se han hecho actualizaciones pero mal planificadas eran parches nos encontramos con unos espacios con problemas de climatización llevamos más de dos meses con aire acondicionado portátil en los vestuarios fallos en instalaciones revestimientos muy deteriorados si continuo como usuaria es por la red social,3,Fecha de edición: Hace un año
119,buena maquinaria y buenas clases grupales con monitores estupendos sobre todo rocío en body balance y pilates si no fuera por eso ya no iría mas meses no le pongo más estrellas porque es insostenible el aforo que tienen entrenar por libre es prácticamente imposible todas las máquinas ocupadas grupos de adolescentes que van más a pasar el tiempo que a entrenar a veces parece más una discoteca que un gimnasio la clases grupales las están reprogramando continuamente tanto de horario como de monitor a esto resulta desesperante cuando por fin coges el ritmo de dicha actividad y profesional toca cambiar tu rutina y adaptarte en caso de que puedas si no puedes pues a hacerte a otra actividad y cuando le pillas el rollo te la cambian otra vez eso me tiene ya bastante harta ha subido ya varias veces de precio y no veo que sea para invertir en mejorar acabo el año y me borraré,3,Fecha de edición: Hace 2 años
