id,comment,rating,review_date
1,es una pena en lo que ha convertido vivagym este gimnasio anteriormente altafit y ahora permite solo la cuota premium la decadencia es clara con máquinas rotas una al lado de la otra máquinas fundamentales y de uso básico no solo una vez cada x tiempo todas las semanas hay alguna rota y si la arreglan al día siguiente caso real vuelve a romperse no es problema del personal aunque casi siempre se tragan las quejas del usuario por desgracia aún no me ha pasado por suerte y ya dejando de lado la falta de funcionalidad ¿nos damos cuenta de que con esto no garantizamos la seguridad del usuario suponiendo que hace bien el ejercicio? no solo las máquinas el material deja mucho que desear almohadillas despegadas con grapas sueltas que se caen por el suelo cubos para recoger el agua del goteo permanente del techo luego pedimos privacidad prohibiendo realizar grabaciones que nos permitan corregir la técnica y evitar lesiones pero dejamos los pc encendidos enfrente del público no se permiten mochilas en la sala con el material propio para que no les roben ¿robar el qué? pero a ellos si llevan el material suelto ¿que les den? espero con esta reseña concienciar mínimamente a los responsables pero también a los potenciales usuarios para que eleven sus estándares y criterios de lo que es un servicio adecuado seguro,1,Hace un mes
2,esta semana puedes entrenar tren superior si te apetece la prensa la jaca y el hip thrust rotos eso sí con unos reposa cabezas de lo más creativos no se puede tener menos vergüenza que los que gestionan los 40 euros mensuales que te cobran de cuota con el pésimo mantenimiento que le dan,1,Hace un mes
3,muy divertidas las clases a mí nunca me gustó entrenar musculación y acá vengo con ganas porque entrenamos todo el cuerpo con el peso que cada uno necesita de manera divertida y se pasa muy rápido la clase los profesores son de 10!,5,Hace 4 semanas
4,finalmente desde vivagym se pusieron en contacto conmigo y me han dejado entregar el informe médico vía online y congelar la cuota es una pena que únicamente dejen congelar la cuota tres meses como máximo ya que mi lesión probablemente con dos operaciones en el tobillo rotura de peroné tibia tocada ligamentos no me permita ir todavía en febrero que es hasta el máximo que me pueden congelar la cuota supongo que me tocará darme de baja para el mes de febrero y ya cuando pueda reincorporarme volver a entrenar que es lo que realmente tengo ganas agradezco que se hayan puesto en contacto conmigo hayan comprendido la situación y finalmente me hayan dado facilidades para entregar el papeleo digitalmente única pega que me hubiera gustado poder seguir vinculado sin tener que darme de baja muy posiblemente en febrero pero como digo agradezco que al menos hayan gestionado el asunto,4,Fecha de edición: Hace 2 semanas
5,llevan cerca de una semana con una media de 4 máquinas rotas y otras bastante deterioradas a día de hoy femoral de pie hombro trasero pecho cuádriceps y la de aductor desequilibrada por completo la mayoría de los mosquetones descompensados hay goteras permanentes y está siempre lleno de gente con los 40 euros casi que cobran de cuota debería de estar mucho más cuidado y por si estuviera poco saturado en cualquier franja ahora hacen funcional en la zona de peso libre por no remarcar que el cambio a viva gym supuso que todos los agarres estén tirados en el suelo porque la caja que traigan en un futuro deduzco que tiene que ser corporativa los neones en los espejos de la zona de mancuernas te pegan un colocón digno de discoteca y las alfombrillas azules llevan aquí cogiendo polvo desde el covid casi con la agilidad que tienen para hacer cuotas nuevas están muy verdes en cuanto a mantenimiento y cuidado,1,Hace 3 meses
6,deseo expresar mi inconformidad con las clases de zumba en el turno de la tarde el profesor alexander no demuestra la preparación ni el dominio necesarios para impartir esta disciplina no sigue el ritmo de la música carece de coordinación y la clase se torna desorganizada y poco motivante es lamentable que mientras en la mañana la profesora yamira m ofrece clases dinámicas bien estructuradas y profesionales en la tarde la calidad sea tan deficiente considero que el gimnasio debería garantizar instructores capacitados en todos los horarios ya que los usuarios merecemos el mismo nivel de calidad independientemente del turno al que asistamos,1,Hace 2 meses
7,buenas no soy de quejarme y menos hacer reseñas malas pero esto de viva gym es otro nivel máquinas fuera de servicio y sin mantenimiento esperando que alguien se lesione para hacer algo hay 500 mil máquinas de cardios cuando tranquilamente pueden hacer un recorte y poner más máquinas de hacer pierna tipo prensa para hacer piernas que hay solo una hacka y otras máquina de musculación creo que llevo 3 años y en estos años cuada vez que hacen algo es solo poner pegatinas nuevas cambiar el color y las luces del gimasio y nada más porque ni la limpieza hacen la instalación día si y día no pierde agua en la mayoría de las zonas y al final nunca mejoran nada la cuota e 37 90€ para luego no ofrecer ningún tipo de mejora ni servicio real capaz no les interesa pero poco a poco la gente se va a dar cuenta y la gente de verdad que lleva varios años me entenderá seguro que seguirán apuntándose gente nueva per con el tiempo se darán cuenta que es una cuota demasiado alta para lo que ofrece la instalaciones siempre comentan lo tendremos en cuenta y eso pero al final no solucionarán nada estoy viendo gimnasio para cambiarme en breve,1,Hace un mes
8,puntuación 0 puse 1 para poder opinar hoy y 5 integrantes de mi familia nos damos de baja de este gym es el peor gym que he visto en una ciudad europea en particular va en decadencia con la limpieza es un lugar lleno de motas y polvo por donde mire maquinaria dañada sin mantenimiento y obsoleto zona de poleas que en su vida le hicieron mantenimiento ni aceite le han puesto están pegadas y mal graduadas de altura maquina prensa sin cojineria tocaba poner una colchoneta de suelo para que remplazará el asiento y el espaldar por qué tenía días semanas sin que lo coloquen ni hablar de las mancuernas y discos hay un colas de ambos están combinados con otras marcas y todos desgastados y viejos mancuernas y discos oxidados los discos quedan bailando en la barra de lo desproporcionado que son debo aclarar que en varias ocasiones me acerqué al administrador y si respuesta siempre fue la misma para el todo está en orden solo te escucha por decencia pero no hace nada por mejorar ese lugar no lo recomiendo no inviertan su dinero en esta sede de viva gym en palacio de vista alegre,1,Hace un mes
9,el gimnasio me gusta entreno a primera hora de la mañana y he visto que falta más personal a esa hora solo está una chica muy maja yamira a veces uno quiere preguntar algo y no se haya a quien acudir sin embargo algunas veces he ido por la tarde y allí sí que hay personal de sobra que a veces quizás no hayan ni que hacer deberían de mejorar e equilibrar esa parte por lo demás bien,3,Hace 3 meses
10,desde que se volvió viva gym la calidad ha bajado muchísimo siguen aceptando gente pero no han hecho nada para mejorar las instalaciones de cualquier manera el espacio es el que es y no hay más en las mañanas cuando se supone que hay menos gente estamos unos sobre los otros en parte porque no hay suficientes espejos y todos nos queremos ver ni tampoco suficiente material además hay una sola chica en la mañana ocupándose de todo claramente no se da abasto no ayuda claro que mucha gente no tiene educación y aparta espacios o máquinas y no respeta el espacio de los demás,1,Hace 3 meses
