id,comment,rating,review_date,sentiment
1,bancos cojos poleas rotas casi siempre poco mantenimiento de las máquinas con placas… y lo peor de todo no te permiten ocupar más de 2 máquinas si estás haciendo una triserie vienen a decirte de malas maneras que la descargues porque hay más gente que la tiene que usar cuando el resto del gimnasio está así de desordenado y no le dicen nada a nadie solo justamente hoy a mí una vergüenza el trato y las instalaciones cada vez van a peor,1,Hace un mes,negative
2,dreamfit es un gimnasio que realmente marca la diferencia el personal es increíblemente amable y atento en especial douglas que siempre está dispuesto a ayudar y motivar las instalaciones se mantienen impecablemente limpias algo que se agradece muchísimo al entrenar un lugar donde te sientes cómodo bien atendido y con muy buen ambiente ¡totalmente recomendado!,5,Hace 2 semanas,positive
3,he estado en gimnasios de toda clase y después de 3 años en dreamfit ventas puedo decir que es el mejor en calidad precio de todos los que he visitado espectacular tanto en máquinas zona de peso libre esto es brutal mantenimiento limpieza e instructores de clases colectivas si tengo que poner un pero diría que a los horarios de las clases de la tarde hay que darles una vuelta,5,Hace 3 semanas,positive
4,ya llevo un tiempo razonable para poder poner una reseña así que ahí va el gym está muy bien en general aunque por las tardes noches está muy lleno por eso yo prefiero si puedo venir por las mañanas o mediodías los monitores y personal son muy majos y profesionales me encantan especialmente javier douglas y bruno ¡le ponen muchas ganas y pasión a su trabajo! en baile me encantan cristina y luis aunque ya no coincido mucho en clases de baile con ellos y en recepción adrián es un encanto educado y resolutivo alejandra de limpieza otro encanto el vestuario de chicas siempre está impoluto demasiado maja y profesional y siempre con una sonrisa y amabilidad por todo ello y ellos considero que este es un muy buen gimnasio gracias!,5,Hace 5 meses,positive
5,acabo de darme de baja por qué el cuerpo y mi horario cada vez me responde peor pero estando apuntando desde que abrieron puedo decir que es de los mejores y más completos gimnasios que encontraréis de los df que he visitado todos están muy bien pero la cercanía y el tamaño de las instalaciones de éste son ideales las maquinas de calidad y con buen mantenimiento no he visto averías de semanas ni asientos y apoyos rajados por todos lados sauna y baño turco disfrutables amabilidad de los monitores de los entrenadores personales que serán los que van ofreciéndose como pone un comentario no puedo opinar no he usado sus servicios lo malo no todo va a ser bueno a ciertas horas hay mucha gente puede ser un poco agobiante si vas con una rutina de maquinas concretas lo peor de todo es el comportamiento de mucha gente que no te quita los discos al acabar que suelen ser los mismos que no saben la diferencia entre un bañador y unos calzoncillos en la zona de sauna y habría que darles un toque un cliente no además entre que voy sin gafas y con cascos paso muchas gracias por ser mi gimnasio estos años y espero poder volver quizá algún día,5,Hace 2 meses,positive
6,en los últimos meses este gym ha mejorado mucho instalaciones decentes máquinas buenas monitores simpáticos etc he decidido cambiarme de gimnasio porque alrededor hay varios con precios algo más asequibles el extra de dreamfit podría justificarse si usas mucho la sauna pero no es mi caso así que he decido darle una oportunidad a otro gimnasio del barri por poner algo que se pueda mejorar el volumen de la música en algunas clases sobre todo de spinning es demasiado alto quiero destacar positivamente a los monitores sobre todo a luis mara y otro chico que no se como se llama ¿jesús quizás? el que es igualito que el escritor brendan leonard muy muy profesionales un abrazo a todos,4,Hace 2 meses,positive
7,muy buen gimnasio muy grande y amplio con gran variedad de horarios y clases me gusta mucho la sauna y que tengan secadores de pelo y fuentes de agua fresca es el más grande del barrio hay una báscula para poder pesarse,5,Fecha de edición: Hace un mes,positive
8,buen gimnasio me encanta que el espacio sea amplio y bien aprovechado además de la variedad de máquinas y clases disponibles que se pueden gestionar fácilmente desde la app dreamfit el aforo puede ser en ciertas horas puede complicar un poco el entreno pero por las mañanas suele estar mas vacío y se entrena bien,4,Fecha de edición: Hace 10 meses,positive
9,estuve hoy por la mañana visitando el gimnasio y me atendió iván muy profesionalmente y con claridad las clases como reservarlas el funcionamiento de algunas máquinas etc muchas gracias por la atención tan buena iván!! no pongo 5 estrellas porque me pareció que había muchos usuarios para ser agosto por la mañana,4,Hace 3 meses,positive
10,es un gym muy bueno tiene diferentes tipos de máquinas y eso ayuda bastante para nuestro entrenamiento los monitores son muy majos en sus clases la limpieza está bastante bien lo que no parece es el trato a sus trabajadores de limpieza hace 3 días estaba entrenando y director del centro le hablo falta a los chicos de limpieza ya son varias veces que escucho y siempre les habla muy bruco el trato no es debido ya ellos se esfuerzan en manter las instalaciones limpias y hay personas que no cuidan el trabajo muchas gracias a mejor sus trato sus empleados,2,Hace 5 meses,negative
11,nigthmarefit… la verdad que llevo un año en este antro pero esta semana me borro los monitores solo se pasean… están ahí para vender clases personales son unos charlatanes que están todo el día dándole al pico la sauna y el baño de vapor se encienden sobre las 7 30 de la mañana y no cogen temperatura hasta las 9 es decir yo que voy por la mañana no puedo usarlo y estoy pagando por ello el otro día fui más tarde y el baño de vapor estaba encharcado y con mierda… nos hemos comido una reforma de 3 meses para que todo siga igual de mal y las duchas oliendo a cloaca arrivederci,1,Hace 7 meses,negative
14,este gimnasio es un sueño hecho realidad el equipo es de primera clase y las clases son variadas y emocionantes lo que realmente me cautivó es la comunidad aquí los entrenadores son geniales y siempre me motivan no puedo esperar para volver ¡dreamfit eres lo mejor! pedro sanz garcía,5,Hace 2 años,positive
15,gimnasio amplísimo personal atento y amable máquinas technogym de todo tipo se echa en falta algún juego más de discos calibrados y un rack banco de powerlifting ya que por espacio sería posible y algunos de la competencia están más preparados para ello se entiende que no es un centro específico pero no lo veo descabellado,4,Hace 5 meses,positive
