id,comment,rating,review_date,sentiment
1,uno de los mejores gimnasios que hay en madrid llevo 8 años entrenando allí y ahora que lo han reformado máquinas nuevas salas nuevas luces nuevas está espectacular estaría bien que tuviera una sala de descanso para tomar el batido o tu táper de comida,5,Hace 4 semanas,positive
3,pesima la obra que están haciendo el suelo en prácticamente todos el gimnasio sigue irregular a lo que es obvio que puede perjudicar a la hora de entrenar las máquinas viejas la iluminación del gimnasio aparte de ser halógenos y dar calor están poniendo focos puntuales que se usan en las galerías de arte no son apropiados para un gimnasio antes estaba mejor con más plafones parece que se quieren poner la medalla con unos murales y poner carteles que son papel reciclado no dan sensación de tranquilidad son muy ruidosos visualmente en vede centrarse en suelo máquinas deciden cambiar paredes que ya ves a mi personalmente me parece que la pared no estaba para reformar y la gracia de los murales nos subireis la cuota en enero pero las máquinas seguirán siendo las mismas el gimnasio con aglomeración de gente? me acuerdo el día que el gimnasio abrió y ahora ha desmejorado a pesar de cobrarnos 14e más al mes que ya me daría vergüenza,1,Hace 3 meses,negative
5,muy buen gimnasio buen ambiente y muy amplio para realizar tus rutinas en cuanto a los monitores solo destacar a un chico que es nuevo y el otro día me ayudó en algo q no sabía y muy majo con su explicación los demás te pueden estar viendo q lo haces mal q no te dicen ni mu las cosas como son,4,Hace una semana,positive
6,el gimnasio dreamfit villaverde ha dado un gran salto tras su reforma ahora cuenta con más máquinas en la zona de musculación nuevas pesas para body pump bicicletas renovadas y cintas de correr actualizadas a esto se suma la mejora estética suelo nuevo vinilos modernos e iluminación con colores que hacen el ambiente mucho más motivador sin embargo como socia debo decir que lo que de verdad marca la diferencia es su equipo de monitores cercanos profesionales y siempre dispuestos a ayudar gracias a ellos entrenar aquí es mucho más que hacer ejercicio es sentirse acompañado y bien guiado con buenas instalaciones variedad de clases y un ambiente renovado es un gimnasio totalmente recomendable tanto para principiantes como para quienes ya entrenan con regularidad,5,Hace 2 meses,positive
7,ahí va mi humilde opinión los que hacen sala se quejan de las clases colectivas los de las clases colectivas se quejan de la sala los hay que se quejan de la iluminación de los nuevos vinilos de la maquinaria etc etc etc bla bla bla la realidad y hablando en términos generales es que dreamfit villaverde ha hecho una remodelación del centro brutal muy bueno y muy costoso han renovado gran parte del material y maquinaria tanto de clases colectivas como de sala la gente antes se quejaba y ahora se sigue quejando nunca puede llover a gusto de todos pero a día de hoy este centro deportivo ha dado un salto de calidad muy importante con la remodelación además de esto uno de sus mayores activos es el grupo de monitores que atienden la sala e imparten las clases colectivas yo personalmente me encuentro como en familia cuando estoy entrenando allí seguro que hay cosas mejorables por supuesto pero si me dicen hace 6 meses que iban a hacer esta reforma no me lo hubiera creído por favor dream fit volverse podéis estar orgullosos de la reforma y así os lo hace saber uno de los socios nos vemos entrenando,5,Hace 2 meses,positive
8,insisto minimo en las pegatinas no es dinero para un gimnasio que abusa tanto de su precio y no hace ni lo mínimo es un gimnasio muy poco cuidado solo interesa el dinero en sacar cada vez mas quería sumar las pocas clases que hay de pilates y yoga no hay opciones de horario razonables están infravaloradas hace meses puse la reseña y está claro que poco caso hacen la actualizaré las veces que haga falta basta ya de que nos tomen el pelo que bien que en unos meses nos volveran a subir la cuota llevo desde que inauguró el gimnasio y en total ha sido una subida de 10 euros en 9 años cosa que me parece una exageración cada vez más máquinas pero el espacio es el que es y está el espacio muy masificado te chocas con gente los discos de 1 25 y 2 5 hay días que imposible conseguir ya que hay muy pocos para el uso que se dan la música deja mucho que desear parece que vienes a un balneario por las mañanas hay muchas máquinas en reparación demasiadas máquinas de correr que a muchas horas apenas se usan los vestuarios a pesar de que las limpiadoras un servicio de 10 porque limpio si esta el problema es que no tiene ventilación ni extracción ni nada lo cual hace que huela muy mal y se condense el olor y la humedad las taquillas por dentro deterioradas muchas subida de precios pero poca mejora las máquinas guiadas no ve ven las pegatinas de los pesos en muchas ya ni están dan ganas de ir con un rotulador o pegatinas y ponerlo no creo que cueste tanto,1,Fecha de edición: Hace 5 meses,negative
9,me encantan las clases y las máquinas son todas nuevas!!cambiadas hace un par de meses son muy atentos los chic s te facilitan las cosas todos los días y muy simpáticos estoy muy contenta de pertenecer a este gimnasio …,5,Hace una semana,positive
10,sinceramente voy porque me pilla al lado de casa y no pierdo tiempo desplazandome en ir a entrenar pero es el peor dreamfit en el que he estado las obras bueno espero y deseo que sea temporal el caos que hay con las obras pero es que no se puede entrenar no hay espacio no hay maquinas una zona petadisima de maquinas y la otra practicamente vacia sin sentido ademas estaria bien que dejaseis de aceptar a gente el aforo lo teneis ya sobrepasadisimo he ido a gimnasios donde literal no puedes apuntarte hasta pasado un año porque respetan el aforo pagar 40 pavos para no poder entrenar para no tener maquinas tener que esperar 20 mins para usar una maquina no poder pasar entre maquina y maquina es un autentico robo vergonzoso la verdad,1,Hace 2 meses,negative
11,saludos a todo el que me lea procedo a editar mi reseña para hacer unas puntualizaciones a la respuesta de la propiedad prefiero hacerlo por este medio ya que cuando lo he hecho como me indica o no he obtenido respuesta o han consistido en evasivas y excusas con respecto a la organización por mucho que publique una clase en todas sus plataformas si ustedes no le pagan o le encargan esa clase a ningún monitor lógicamente no es impartida yo no pretendo que nadie trabaje gratis a lo mejor usted si le hablo de la clase de ciclo publicada para este jueves 3 de julio a las 7 30 de la mañana con el consecuente perjuicio para los usuarios que acudimos por cierto ese día ni tótems ni tornos funcionaban a primera hora también le detallo mi reciente mala experiencia con respecto a la climatización aunque ya lo hice en la calificación de la clase que rellene en la app y fui uno de los que me quejé en recepción el martes 1 de julio a las 18 10 de la tarde con casi 40 grados en el exterior se impartió la clase de ciclo sin aire acondicionado ni ventilación convirtiendo la sala en una macrosauna poniendo en riesgo la integridad de más de una treintena de usuarios también estaría bien que pusiera a nuestra disposición más de una máquina press de hombro de poleas y cables ya que una para más de 800 potenciales usuarios me parece insuficiente la otra está averiada como ya lo estuvo hace unos meses ya por último espero la misma diligencia que tiene para responder a las reseñas la tenga para resolver las carencias de su negocio déjese de evasivas excusas agradecimientos fingidos y por lo menos ofrezca unas sinceras disculpas por cierto la única inversión que he notado en un año ha sido sustituir una fuente que en invierno dispensaba un agua gélida y ahora en verano sale mas caliente que la de los lavabos otra broma de mal gusto a continuación la reseña original poco personal y parece que mal pagados por que los buenos se van mala organización tienen publicada desde la semana pasada una clase de ciclo a las 7 y media de la mañana de hoy y no la tienen asignada a ningún monitor el colmo fue esta misma semana otra clase de cardio la dieron sin aire acondicionado en plena ola de calor a las 6 de la tarde una irresponsabilidad contra nuestra salud maquinas viejas que cuando se estropean las repara un servicio externo que puede tardar semanas en acudir y a los meses se vuelven a averiar desastroso lo más gracioso es que está masificado en las horas puntas y a cada poco suben la cuota si lee esto alguna otra franquicia les propongo que echen números que en esta zona hay negocio y si lo lee algún responsable de dreamfit ya se pueden poner las pilas que la avaricia rompe el saco… me despido cruzando los dedos para que no se estropee el aire acondicionado durante semanas como el año pasado,1,Fecha de edición: Hace 5 meses,negative
12,novedades están instalando nuevas maquinas de cardio esperemos que parte del público que acude a este gimnasio sepa cuidarlas antiguo están haciendo mejoras por ahora poner pegatinas grandes pintarlo todo de tonos claros las goteras siguen ahí pero ahora se ven más cambiar el suelo y cargarse varias de las aulas para avtividades las máquinas siguen siendo las máquinas viejas pero en un contexto de tonos claros no han terminado las obras confiemos en la renovación de las maquinas aunque ya me veo la subida de dos euros a finales de año llevo dos años y no han reparado ni unas eternas goteras que inutilizan varias cintas lo de las goteras a enero 2025 sigue ahí mezclando agua y electricidaf alegremente hasta que pase algo claro diciembre 2024 sin calefacción en plena ola de frío y subiendo tarifas ahora anuncian subida de tarifas en 2025 cero renovación en maquinaria los niveles de aforo que alcanza a determinadas horas y hacen que se vuelva imposible entrenar por la saturación de las máquinas el gimnasio está lleno de canis que deberían estar en el instituto pero están aquí preparándose para comprar su enésima pastilla del día después el fin de semana gente hidratándose con bebidas energeticas que incluso participan de promociones en el propio gimnasio como una reciente campaña de la bebida que te da alas super sana sí en comparación con dreamfits de otras ciudades está muy anticuado con maquinas obsoletas es comprensible que no muchas franquicias quieran invertir en zonas así pero sería un negocio interesante ¿el ambiente? muy ciudad de los ángeles con ligera sensación de presidio en general gente de barrio marginal con cara de pocos amigos y poco abierta a la diversidad en resumen un ambiente bastante lumpen,2,Fecha de edición: Hace 2 meses,negative
