Unnamed: 0,id,name,comment,rating,review_date,sentiment
0,1,Pilar Palma,soy socia y habitual de este gimnasio desde hace dos años y debo decir que los chicos de la recepción hacen un trabajo muy bueno siempre con una atención y un trato de primera que me hace sentir a gusto en mis entrenamientos las máquinas las mantienen muy limpias y ordenadas y más hoy que estan haciendo varias reparaciones dentro del club más bien algunas personas son desconsideradas al complicarles el trabajo dejando las pesas en cualquier sitio en el mancuernero mucho hacen los chicos organizando todo a cada rato todo,5,Hace 5 meses,good
1,2,Amich 29,está claro que se están comprando reseñas porque el gimnasio no está ni limpio ni ordenado a todos los que están aceptando poner reseñas de 5 estrellas falsas no le están haciendo ningún favor a nadie añado vídeos e imágenes del desorden que hay todos los días de las mancuernas lo cual dificulta encontrarlas y usarlas adecuadamente y de la suciedad y desgaste de las máquinas del club,1,Fecha de edición: Hace 3 meses,bad
2,3,A,el material es de vergüenza todo está roto y no se arregla en meses el único colchoncito está roto y hace que te claves la barra pero no hay planes de cambiarlo a 38 grados en julio tienen la misma temperatura que en enero a 5 grados porque dicen que hace frío según las palabras del encargado iván será que le gusta ver sudar a las chicas a las que tanto molesta en el gimnasio,1,Hace 3 meses,bad
3,4,Alena Kalesnikava,javi nos atendió de una manera inmejorable! muy buena persona muy buen profesional! las instalaciones del gimnasio son muy completas! el sillón del masaje es un plus muy grande y la máquina yanga sports water es una pasada! la mochila basic fit muy necesaria y cómoda!estoy muy encantada y agradezco del corazón el recibimiento!,5,Hace 2 semanas,good
4,5,Andres,voy en la mañana y el gimnasio esta impecable y muy limpio para darle uso y sin contar la amabilidad de jesus que sobresalta y hace que sea mucho acogedor a la hora de ir a entrenar,5,Hace un mes,good
5,6,Elany Sanchez,me gusta mucho el gimnasio siempre impecable en cuanto a su limpieza en las instalaciones el trato del personal es de 10 excelente,5,Hace 5 meses,good
6,7,Heidy Ruiz,excelente atención al cliente el gimnasio está limpio y ordenado las maquinas que hay son muy funcionales,4,Hace 5 meses,good
7,8,Lester Chirinos,es la 2da vez que me roban en el basicfit! la primera me abrieron el locker y el bolso y me quitaron el móvil ahora fue en plena sala y lo peor es que la respuesta de cualquier persona encargada es ese es tu problema por dejarlo ahí sin tratar de al menos revisar una cámara de seguridad que es lo más sencillo del mundo en cualquier establecimiento! pero como se las sudaaaaaa estar pendiente de las pertenencias de los demás y asumir una gestión tan fácil como es revisar algo al momento pues es lo más fácil mandándome a un jodido protocolo de denuncia en la policía solo pa ver quién tomó mi paraguas de un sitio! esto también me pasó en la planta de vallecas en la de diego de leon hace 2 años y ahora aquí en esta! cuidado a mil con sus pertenencias cuando vayan a cualquier basic! en otro sitio fácilmente pueden ayudar a revisar pero aquí nunca les da la gana!,1,Hace una semana,bad
8,9,Paola Arcila perez,es el peor basicfit que he visitado con una mala distribución y diseño muy pocas máquinas un hacinamiento terrible y el aire apagado a gusto de la recepcionista no se puede respirar por la acumulación de vapor en el aire al respecto pregunto ¿no hay una normativa para la temperatura en estos sitios? o a falta de ella porque no establecen una política para que no esté al gusto de los empelados que obvio no van a tener el calor que tiene una persona que está haciendo actividad física,1,Hace 3 semanas,bad
9,10,Miguel Angel Alonso Baeza,en general bien ambiente acogedor para entrenar en general está limpio y los monitores se preocupan porque esté todo en orden el único pero que le pongo es que presenta una excesiva informatización del papeleo a la hora de inscribirse me gustaría que se pareciera más a un gimnasio tradicional de esos que se suelen denominar como de barrio aun con esto estoy bastante contento de ir mientras pueda seguiré,4,Hace 2 meses,good
