id,comment,rating,review_date,sentiment
1,el la ideólogo a que se le ha ocurrido poner todas las taquillas en un pasillo reduciendo a 0 la privacidad mis felicitaciones al que se le ha ocurrido instalar duchas sin un soporte para las mismas o un estante para dejar geles o un gancho en los vestuarios para dejar las cosas enhorabuena al que se le ocurre dejar cables al aire y clemas sin cubrir en la zona de la piscina crack mundial y la limpieza de los vestuarios por favor un poco de seriedad al respecto por cierto la piscina ya tiene zonas del fondo desgastadas para este viaje no se necesitaban tanta alforjas,1,Hace 2 semanas,negative
2,una estrella y pq no hay menos van para los 6meses de reforma que me parece muy bien innecesaria pero bueno lo que no puede ser es q quites duchas quites un montón de horas de clase dirigida no controles aforos no controles quien va y quien no va a las clases tengas una aplicación en la q al minuto de abrir reserva ya se han completado más del 95 de las clases que reserves y no pase nada si no cancelas pq nadie sabe si vas o no q si estás en lista de espera de repente te acepte a una hora de empezar y ya no te deje cancelar a todas luces si todas las clases están llenas en un minuto y todas tienen gente en reserva algo pasa por supuesto la cuota es la misma menos servicios pero misma cuota después de 6m alguna idea de cuando vais a poner más clases y de cuando finalizan las obras?,1,Hace 2 semanas,negative
3,una pena porque este gimnasio estaba fenomenal antes de las obras con dos salas separadas de cardio y maquinas espaciosas y bien ventiladas y ahora estamos todos en un zulo metidos al lado de la piscina somos el doble de gente por las ofertas que están haciendo yo solía ir a las 7am y ya ni a esa hora se está bien con maquinas nuevas que nadie usa y las más demandadas a cuentagotas de hecho en verano tuve que dejar de ir hasta que pasó lo peor del calor porque era infernal la temperatura abajo si hubiera algo más de oferta en el barrio aparte del holiday gym mismos problemas y lo que a mi personalmente me hizo elegir el sage hace tiempo me iría lo antes posible la verdad cuando termine la obra no dudo que se estará mejor que ahora pero aun así por las decisiones que han tomado creo que habrá ido a peor igualmente,1,Hace una semana,negative
4,si retiras que llevan haciendo diversas obras de larga duración durante varios años cambiando constantemente las salas el aquipamiento y demás es un buen gimnasio ahora han aumentado el equipamiento en la zona de pesas lo cual se agradece y los monitores son muy buenos le pongo una estrella primero porque las obras que hacen de forma anual desde hace varios años son bastante incómodas para los clientes segundo y principal razón durante los periodos en obras cobran la cuota mensual completa que es bastante elevada aun sin haber vestuarios cerrando algunas salas la piscina en mal estado agua verde y muy fria conviviendo clientes y obreros trabajando lo cual supone un riesgo para todos por otro lado los tornos están siempre abiertos por lo que es posible que gente sin cuota acceda a las instalaciones además el año pasado subieron la cuota después de su respectiva reforma anual espero que este año no la suban más o la bajen al precio que había antes,1,Hace 3 semanas,negative
5,quería comentar el excelente trato recibido siempre empezando por la recepcionista así como monitores hace un tiempo en verano sufrí una fatiga por el esfuerzo y casi sin pedir ayuda la recepcionista se encargó de mí llamó a socorrista de piscina y demás me ayudaron a revertir la situación y se quedó en un susto incluso llamándome por la tarde para ver cómo seguía aprovecho para darles las gracias por la rápida actuación y lo bien que me hicieron sentir 5 estrellas!,5,Hace 2 semanas,positive
6,llevo aproximadamente un año entrenando en este gimnasio y estoy encantada siento que el ambiente es amable y bastante familiar y nunca me he sentido incómoda o he vivido una situación desagradable siendo mujer entrenando fuerza algo que me ha pasado de forma recurrente en otros gimnasios y que me ha llevado a veces a no querer ocuparlos es muy guay en este gimnasio y cada vez más el ver a tantas mujeres entrenando fuerza y ocupando clases como las de hyrox el hecho de que este tipo de clases en muchas ocasiones sean impartidas por entrenadoras mujeres para mi ya es algo reseñable y que me lleva a elegir quedarme en este gimnasio el equipo de profes es super guay e implicado y las clases que están incorporando de hyrox son una pasada muy completas y divertidas me encuentro super a gustito aquí,5,Hace 4 semanas,positive
7,a pesar de las obras actualmente en curso para la mejora e innovación del gimnasio y entendiendo que se trata de un proceso temporal estoy muy satisfecha con los resultados que ya comienzan a apreciarse quisiera destacar especialmente las clases colectivas de hyrox impartidas por la monitora alicia el ambiente es excelente las sesiones son completas y efectivas tanto que las agujetas me acompañan toda la semana y la experiencia en general está siendo magnífica lo recomiendo sin ninguna duda,5,Hace 3 semanas,positive
8,actualmente el gimnasio está en una transición yo siento que hacia mejor las monitoras hacen un trabajo impecable alta profesionalidad cumplimiento y responsabilidad en algunas ocasiones la respuesta administrativa no ha dado satisfacción a las necesidades de los clientes pero espero que eso va cambiando con la nueva administración las remodelaciones suelen ser incómodas pero han hecho un gran esfuerzo por dar el mejor servicio en esas circunstancias muchos cambios se siguen aproximando y lo mejor es un dar y recibir que permita el acoplamiento si queremos que las cosas cambien no pueden seguir igual y requieren también de nuestra adaptación adelante con el buen servicio y la amabilidad y nosotros los clientes con cierta adaptabilidad,5,Fecha de edición: Hace un mes,positive
9,obras desde junio no hay ventilación en la sala de máquinas te cueces la piscina está a medio terminar agua fría poca luz sin percheros los vestuarios cerrados y los que han habilitado son pequeños y con 4 duchas en las que el agua sale fría las puertas son provisionales obreros pasando constantemente no hay intimidad taquillas en el pasillo máquinas estropeadas habitualmente un horror eso sí la cuota la cobran puntualmente,1,Hace 4 semanas,negative
10,llevo 3 4 años en el gimnasio y está última reforma ha empeorado muchísimo la experiencia de entrenar la sala de musculación ha pasado de una sala con luz natural a un búnker oscuro al lado de la piscina con el vapor y calor que genera eso y masificado por ofertas de captación se han ampliado mancuernas y algunas máquinas de pierna pero han quitado alguna de las más utilizadas y seguimos con la misma cantidad de poleas y bancos siendo muchas más personas además se ha quitado la fuente de agua fría que había de verdad ¿que costaba reubicarla y dejarla? es que casi todos los cambios en esta sala han sido a peor en cuanto al cardio hemos pasado de una sala independiente ventilada iluminada a ubicarla en el mismo búnker de antes al final del todo a oscuras y con menos máquinas para colmo las que hay están más pegadas unas a otras y algunas funciones básicas que tenían como el internet para ver contenido en ellas ya no funciona en estos días tampoco funciona la ventilación individual de algunas de ellas antes daba gusto hacer cardio en el gimnasio ahora es incomodísimo ah todo esto es mi experiencia yendo por la mañana no me quiero imaginar cómo tiene que ser la cosa por la tarde además teniendo en cuenta que ahora no se controla el aforo porque los tornos de acceso están desactivados esta es la experiencia a día de hoy para musculación y cardio si quieres solo ir a clases igual la cosa está mejor el gimnasio está en proceso de cambio y van a poner cafetería parking etc pero deberían mejorar primero lo básico la zona de entrenamiento porque al gimnasio se va a entrenar ya tenemos cafeterías de sobra en el barrio las dos estrellas son por el personal que son encantadores y llevan la situación como pueden con la poca información que les dan y porque mi cuota es económica comparada con otros gimnasios de la zona que están aún más masificados espero que mejoren lo que pueden mejorar porque ubicar la sala en una zona sin luz al lado de una piscina ya es una idea horrible que no tiene solución más máquinas ventilación y reubicar ampliar y reparar las funciones de las maquinas de cardio y poder editar la valoración en el futuro edito la valoración para restar la valoración a 1 estrella porque me habéis respondido diciendo varias cosas que no son verdad por favor voy todos los días al gimnasio y veo la situación perfectamente los tornos de acceso llevan desactivados semanas por lo que no se puede controlar el aforo de manera correcta y algunas máquinas como la contractora de pecho no se ha reubicado se ha quitado por lo menos en la sala de musculación no está igual que alguna elíptica que he visto por ahí en otra sala cogiendo polvo en cuanto a los bancos y poleas no he dicho que se hayan reducido pero el haber más gente en el gimnasio tras las ofertas de captación resultan claramente insuficiente 5 bancos y las poleas que hay para toda la gente cuando esas mejoras sean visibles editaré mi valoración con mucho gusto,1,Fecha de edición: Hace 3 semanas,negative
