id,comment,rating,review_date,sentiment
9626,relación calidad precio está muy bien las maquinas son todas nuevas y el personal muy educado el único aspecto negativo es que por la tarde tipo 7 hay muchísima gente,4,Hace 5 años,positive
1995,el gimnasio está genial y tiene los mejores entrenadores,5,Fecha de edición: Hace 3 meses,positive
10215,un gym impresionante mejor ve a verlo tú mismo además la gente es increíble recomendable 100,5,Hace 2 años,positive
12639,super completo!! es enorme! muchas máquinas muchas clases y mucho espacio! muy buen precio! y el trato es excelente! ademas tiene sauna baño turco y solarium,5,Hace 8 años,positive
1370,desde que han cambiado de manos el centro va cada vez peor sobre todo por la falta de atención la masificación el estado de las instalaciones por su uso desproporcionado y el agravio a los socios de mayor valor ya que no tienen garantizado el acceso a clases o instalaciones,1,Fecha de edición: Hace 2 años,negative
5604,felipe nos antendio muy bien gracias!!!,5,Hace 7 meses,positive
7533,excelente gimnasio los monitores muy atentos y me han ayudado en todo lo que he necesitado recomiendo que la gente se apunte y disfruta de la posibilidad de entrenar bien y sentirte bien con tu cuerpo,5,Hace un año,positive
6695,el gym esta muy bien pero deben cuidar mas la colocacion de las mancuernas ya que a veces no encuentras el peso que buscas y estan tiradas por todos los lados ningun monitor en la sala ni han enseñado a los clientes la directora no hace nada,4,Fecha de edición: Hace 3 años,positive
6798,me encanta la ubicacion y sobre todo el ambiente! gracias kike por todo!,5,Fecha de edición: Hace un año,positive
3708,encantado con el personal inscripción un poco despacio por cosas externas pero lo demas muy bien,5,Hace un año,positive
1470,pésima la atención telefónica preguntas por tarifas porque no tienes tiempo y ni te dan información y la chica que me atendió con pocas ganas de vender…en fin!,1,Hace 2 años,negative
3667,atención de los monitores top grandes instalaciones y servicios muy recomendable,5,Hace 9 meses,positive
9757,excelente relación de precio y calidad muy completo ambiente agradable agradezco entrenar aquí,5,Hace 9 años,positive
635,buen servicio,5,Hace 5 meses,positive
638,muy amable 100 recomendado! personal servicial,5,Hace 2 años,positive
1904,el personal te ayuda siempre con lo que puede son un encanto!!,5,Hace 3 meses,positive
13805,me encanta mi gimnasio,5,Hace 2 años,positive
