run_id,constraint_met,F1_neg,F1_pos,Recall_neg,Recall_pos,Precision_neg,Precision_pos,Macro_F1,PR_AUC_neg,threshold,penalty,C,class_weight,ngram_range,min_df,max_df,sublinear_tf,stopwords_enabled,n_features,coef_sparsity,runtime_seconds,Brier_Score,ECE,confusion_matrix
run.2026-01-10_200,True,0.898374,0.968334,0.922756,0.960427,0.875248,0.976373,0.933354,0.945146,0.376643,l2,5.000000,,"(1, 3)",10,0.900000,True,True,3946,0.000000,9.254181,0.037704,0.009556,"[[442, 37], [63, 1529]]"
run.2026-01-10_208,True,0.898374,0.968334,0.922756,0.960427,0.875248,0.976373,0.933354,0.945146,0.376643,l2,5.000000,,"(1, 3)",10,0.950000,True,True,3946,0.000000,9.228696,0.037704,0.009556,"[[442, 37], [63, 1529]]"
run.2026-01-10_216,True,0.898374,0.968334,0.922756,0.960427,0.875248,0.976373,0.933354,0.945146,0.376643,l2,5.000000,,"(1, 3)",10,1.000000,True,True,3946,0.000000,9.897416,0.037704,0.009556,"[[442, 37], [63, 1529]]"
run.2026-01-10_195,True,0.897751,0.968394,0.916493,0.962312,0.879760,0.974555,0.933072,0.942074,0.359035,l2,3.000000,,"(1, 3)",10,0.900000,True,False,7765,0.000000,10.603341,0.039853,0.014189,"[[439, 40], [60, 1532]]"
run.2026-01-10_203,True,0.897751,0.968394,0.916493,0.962312,0.879760,0.974555,0.933072,0.942074,0.359035,l2,3.000000,,"(1, 3)",10,0.950000,True,False,7765,0.000000,10.225786,0.039853,0.014189,"[[439, 40], [60, 1532]]"
run.2026-01-10_211,True,0.897751,0.968394,0.916493,0.962312,0.879760,0.974555,0.933072,0.942074,0.359035,l2,3.000000,,"(1, 3)",10,1.000000,True,False,7765,0.000000,10.635491,0.039853,0.014189,"[[439, 40], [60, 1532]]"
run.2026-01-10_104,True,0.897541,0.968414,0.914405,0.962940,0.881288,0.973952,0.932978,0.948867,0.417627,l2,5.000000,,"(1, 2)",5,0.900000,True,True,7959,0.012564,8.863232,0.037807,0.010566,"[[438, 41], [59, 1533]]"
run.2026-01-10_112,True,0.897541,0.968414,0.914405,0.962940,0.881288,0.973952,0.932978,0.948867,0.417627,l2,5.000000,,"(1, 2)",5,0.950000,True,True,7959,0.012564,9.207000,0.037807,0.010566,"[[438, 41], [59, 1533]]"
run.2026-01-10_120,True,0.897541,0.968414,0.914405,0.962940,0.881288,0.973952,0.932978,0.948867,0.417627,l2,5.000000,,"(1, 2)",5,1.000000,True,True,7959,0.012564,8.618705,0.037807,0.010566,"[[438, 41], [59, 1533]]"
run.2026-01-10_152,True,0.896907,0.968474,0.908142,0.964824,0.885947,0.972152,0.932691,0.943894,0.531485,l2,5.000000,,"(1, 3)",2,0.900000,True,True,34331,2.092569,10.703265,0.039000,0.015947,"[[435, 44], [56, 1536]]"
run.2026-01-10_160,True,0.896907,0.968474,0.908142,0.964824,0.885947,0.972152,0.932691,0.943894,0.531485,l2,5.000000,,"(1, 3)",2,0.950000,True,True,34331,2.092569,10.676975,0.039000,0.015947,"[[435, 44], [56, 1536]]"
run.2026-01-10_168,True,0.896907,0.968474,0.908142,0.964824,0.885947,0.972152,0.932691,0.943894,0.531485,l2,5.000000,,"(1, 3)",2,1.000000,True,True,34331,2.092569,14.013118,0.039000,0.015947,"[[435, 44], [56, 1536]]"
run.2026-01-10_128,True,0.896622,0.968088,0.914405,0.962312,0.879518,0.973935,0.932355,0.945350,0.385280,l2,5.000000,,"(1, 2)",10,0.900000,True,True,3757,0.000000,11.464581,0.037634,0.008363,"[[438, 41], [60, 1532]]"
run.2026-01-10_136,True,0.896622,0.968088,0.914405,0.962312,0.879518,0.973935,0.932355,0.945350,0.385280,l2,5.000000,,"(1, 2)",10,0.950000,True,True,3757,0.000000,8.583402,0.037634,0.008363,"[[438, 41], [60, 1532]]"
run.2026-01-10_144,True,0.896622,0.968088,0.914405,0.962312,0.879518,0.973935,0.932355,0.945350,0.385280,l2,5.000000,,"(1, 2)",10,1.000000,True,True,3757,0.000000,8.279739,0.037634,0.008363,"[[438, 41], [60, 1532]]"
run.2026-01-10_124,True,0.896266,0.968534,0.901879,0.966709,0.890722,0.970366,0.932400,0.944263,0.478995,l2,5.000000,,"(1, 2)",10,0.900000,True,False,6312,0.000000,9.635399,0.038890,0.010672,"[[432, 47], [53, 1539]]"
run.2026-01-10_132,True,0.896266,0.968534,0.901879,0.966709,0.890722,0.970366,0.932400,0.944263,0.478995,l2,5.000000,,"(1, 2)",10,0.950000,True,False,6312,0.000000,9.382838,0.038890,0.010672,"[[432, 47], [53, 1539]]"
run.2026-01-10_140,True,0.896266,0.968534,0.901879,0.966709,0.890722,0.970366,0.932400,0.944263,0.478995,l2,5.000000,,"(1, 2)",10,1.000000,True,False,6312,0.000000,9.497894,0.038890,0.010672,"[[432, 47], [53, 1539]]"
run.2026-01-10_196,True,0.896197,0.968129,0.910230,0.963568,0.882591,0.972733,0.932163,0.944484,0.386253,l2,5.000000,,"(1, 3)",10,0.900000,True,False,7765,0.000000,10.412517,0.038968,0.011879,"[[436, 43], [58, 1534]]"
run.2026-01-10_204,True,0.896197,0.968129,0.910230,0.963568,0.882591,0.972733,0.932163,0.944484,0.386253,l2,5.000000,,"(1, 3)",10,0.950000,True,False,7765,0.000000,11.063404,0.038968,0.011879,"[[436, 43], [58, 1534]]"
run.2026-01-10_212,True,0.896197,0.968129,0.910230,0.963568,0.882591,0.972733,0.932163,0.944484,0.386253,l2,5.000000,,"(1, 3)",10,1.000000,True,False,7765,0.000000,10.252592,0.038968,0.011879,"[[436, 43], [58, 1534]]"
run.2026-01-10_103,True,0.895918,0.967742,0.916493,0.961055,0.876248,0.974522,0.931830,0.947802,0.385219,l2,3.000000,,"(1, 2)",5,0.900000,True,True,7959,0.012564,8.872051,0.038506,0.009894,"[[439, 40], [62, 1530]]"
run.2026-01-10_111,True,0.895918,0.967742,0.916493,0.961055,0.876248,0.974522,0.931830,0.947802,0.385219,l2,3.000000,,"(1, 2)",5,0.950000,True,True,7959,0.012564,8.706561,0.038506,0.009894,"[[439, 40], [62, 1530]]"
run.2026-01-10_119,True,0.895918,0.967742,0.916493,0.961055,0.876248,0.974522,0.931830,0.947802,0.385219,l2,3.000000,,"(1, 2)",5,1.000000,True,True,7959,0.012564,8.696685,0.038506,0.009894,"[[439, 40], [62, 1530]]"
run.2026-01-10_080,True,0.895769,0.968169,0.906054,0.964824,0.885714,0.971537,0.931969,0.946620,0.514011,l2,5.000000,,"(1, 2)",2,0.900000,True,True,28089,1.948806,9.160103,0.038802,0.016499,"[[434, 45], [56, 1536]]"
run.2026-01-10_088,True,0.895769,0.968169,0.906054,0.964824,0.885714,0.971537,0.931969,0.946620,0.514011,l2,5.000000,,"(1, 2)",2,0.950000,True,True,28089,1.948806,9.570411,0.038802,0.016499,"[[434, 45], [56, 1536]]"
run.2026-01-10_096,True,0.895769,0.968169,0.906054,0.964824,0.885714,0.971537,0.931969,0.946620,0.514011,l2,5.000000,,"(1, 2)",2,1.000000,True,True,28089,1.948806,9.357269,0.038802,0.016499,"[[434, 45], [56, 1536]]"
run.2026-01-10_099,True,0.895337,0.968209,0.901879,0.966080,0.888889,0.970347,0.931773,0.943244,0.491283,l2,3.000000,,"(1, 2)",5,0.900000,True,False,12975,0.007707,9.650184,0.039751,0.010427,"[[432, 47], [54, 1538]]"
run.2026-01-10_107,True,0.895337,0.968209,0.901879,0.966080,0.888889,0.970347,0.931773,0.943244,0.491283,l2,3.000000,,"(1, 2)",5,0.950000,True,False,12975,0.007707,8.507562,0.039751,0.010427,"[[432, 47], [54, 1538]]"
run.2026-01-10_115,True,0.895337,0.968209,0.901879,0.966080,0.888889,0.970347,0.931773,0.943244,0.491283,l2,3.000000,,"(1, 2)",5,1.000000,True,False,12975,0.007707,9.800907,0.039751,0.010427,"[[432, 47], [54, 1538]]"
run.2026-01-10_175,True,0.895062,0.967823,0.908142,0.963568,0.882353,0.972117,0.931443,0.946059,0.456439,l2,3.000000,,"(1, 3)",5,0.900000,True,True,8639,0.011575,9.709542,0.038840,0.009565,"[[435, 44], [58, 1534]]"
run.2026-01-10_183,True,0.895062,0.967823,0.908142,0.963568,0.882353,0.972117,0.931443,0.946059,0.456439,l2,3.000000,,"(1, 3)",5,0.950000,True,True,8639,0.011575,9.642635,0.038840,0.009565,"[[435, 44], [58, 1534]]"
run.2026-01-10_191,True,0.895062,0.967823,0.908142,0.963568,0.882353,0.972117,0.931443,0.946059,0.456439,l2,3.000000,,"(1, 3)",5,1.000000,True,True,8639,0.011575,9.658672,0.038840,0.009565,"[[435, 44], [58, 1534]]"
run.2026-01-10_100,True,0.894845,0.967844,0.906054,0.964196,0.883910,0.971519,0.931344,0.946137,0.438915,l2,5.000000,,"(1, 2)",5,0.900000,True,False,12975,0.007707,10.049619,0.038882,0.010329,"[[434, 45], [57, 1535]]"
run.2026-01-10_108,True,0.894845,0.967844,0.906054,0.964196,0.883910,0.971519,0.931344,0.946137,0.438915,l2,5.000000,,"(1, 2)",5,0.950000,True,False,12975,0.007707,9.738740,0.038882,0.010329,"[[434, 45], [57, 1535]]"
run.2026-01-10_116,True,0.894845,0.967844,0.906054,0.964196,0.883910,0.971519,0.931344,0.946137,0.438915,l2,5.000000,,"(1, 2)",5,1.000000,True,False,12975,0.007707,9.485018,0.038882,0.010329,"[[434, 45], [57, 1535]]"
run.2026-01-10_199,True,0.894791,0.967436,0.914405,0.961055,0.876000,0.973902,0.931113,0.944241,0.378386,l2,3.000000,,"(1, 3)",10,0.900000,True,True,3946,0.000000,9.099188,0.038128,0.010261,"[[438, 41], [62, 1530]]"
run.2026-01-10_207,True,0.894791,0.967436,0.914405,0.961055,0.876000,0.973902,0.931113,0.944241,0.378386,l2,3.000000,,"(1, 3)",10,0.950000,True,True,3946,0.000000,9.219209,0.038128,0.010261,"[[438, 41], [62, 1530]]"
run.2026-01-10_215,True,0.894791,0.967436,0.914405,0.961055,0.876000,0.973902,0.931113,0.944241,0.378386,l2,3.000000,,"(1, 3)",10,1.000000,True,True,3946,0.000000,9.070955,0.038128,0.010261,"[[438, 41], [62, 1530]]"
run.2026-01-10_172,True,0.894628,0.967864,0.903967,0.964824,0.885481,0.970923,0.931246,0.944352,0.436783,l2,5.000000,,"(1, 3)",5,0.900000,True,False,17491,0.006861,13.529338,0.039125,0.009241,"[[433, 46], [56, 1536]]"
run.2026-01-10_180,True,0.894628,0.967864,0.903967,0.964824,0.885481,0.970923,0.931246,0.944352,0.436783,l2,5.000000,,"(1, 3)",5,0.950000,True,False,17491,0.006861,11.541545,0.039125,0.009241,"[[433, 46], [56, 1536]]"
run.2026-01-10_188,True,0.894628,0.967864,0.903967,0.964824,0.885481,0.970923,0.931246,0.944352,0.436783,l2,5.000000,,"(1, 3)",5,1.000000,True,False,17491,0.006861,11.605809,0.039125,0.009241,"[[433, 46], [56, 1536]]"
run.2026-01-10_176,True,0.894575,0.967457,0.912317,0.961683,0.877510,0.973299,0.931016,0.947527,0.415220,l2,5.000000,,"(1, 3)",5,0.900000,True,True,8639,0.011575,9.652067,0.038135,0.009044,"[[437, 42], [61, 1531]]"
run.2026-01-10_184,True,0.894575,0.967457,0.912317,0.961683,0.877510,0.973299,0.931016,0.947527,0.415220,l2,5.000000,,"(1, 3)",5,0.950000,True,True,8639,0.011575,9.696464,0.038135,0.009044,"[[437, 42], [61, 1531]]"
run.2026-01-10_192,True,0.894575,0.967457,0.912317,0.961683,0.877510,0.973299,0.931016,0.947527,0.415220,l2,5.000000,,"(1, 3)",5,1.000000,True,True,8639,0.011575,10.711417,0.038135,0.009044,"[[437, 42], [61, 1531]]"
run.2026-01-10_171,True,0.894523,0.967047,0.920668,0.958543,0.869822,0.975703,0.930785,0.942995,0.339388,l2,3.000000,,"(1, 3)",5,0.900000,True,False,17491,0.006861,15.928305,0.039783,0.009414,"[[441, 38], [66, 1526]]"
run.2026-01-10_179,True,0.894523,0.967047,0.920668,0.958543,0.869822,0.975703,0.930785,0.942995,0.339388,l2,3.000000,,"(1, 3)",5,0.950000,True,False,17491,0.006861,11.261166,0.039783,0.009414,"[[441, 38], [66, 1526]]"
run.2026-01-10_187,True,0.894523,0.967047,0.920668,0.958543,0.869822,0.975703,0.930785,0.942995,0.339388,l2,3.000000,,"(1, 3)",5,1.000000,True,False,17491,0.006861,11.246395,0.039783,0.009414,"[[441, 38], [66, 1526]]"
run.2026-01-10_148,True,0.894142,0.967498,0.908142,0.962940,0.880567,0.972099,0.930820,0.942450,0.459132,l2,5.000000,,"(1, 3)",2,0.900000,True,False,63592,1.970059,13.052010,0.040809,0.011867,"[[435, 44], [59, 1533]]"
run.2026-01-10_156,True,0.894142,0.967498,0.908142,0.962940,0.880567,0.972099,0.930820,0.942450,0.459132,l2,5.000000,,"(1, 3)",2,0.950000,True,False,63592,1.970059,13.140339,0.040809,0.011867,"[[435, 44], [59, 1533]]"
run.2026-01-10_164,True,0.894142,0.967498,0.908142,0.962940,0.880567,0.972099,0.930820,0.942450,0.459132,l2,5.000000,,"(1, 3)",2,1.000000,True,False,63592,1.970059,15.372233,0.040809,0.011867,"[[435, 44], [59, 1533]]"
run.2026-01-10_127,True,0.893443,0.967151,0.910230,0.961683,0.877264,0.972681,0.930297,0.944013,0.370483,l2,3.000000,,"(1, 2)",10,0.900000,True,True,3757,0.000000,8.563766,0.038524,0.011840,"[[436, 43], [61, 1531]]"
run.2026-01-10_135,True,0.893443,0.967151,0.910230,0.961683,0.877264,0.972681,0.930297,0.944013,0.370483,l2,3.000000,,"(1, 2)",10,0.950000,True,True,3757,0.000000,11.726856,0.038524,0.011840,"[[436, 43], [61, 1531]]"
run.2026-01-10_143,True,0.893443,0.967151,0.910230,0.961683,0.877264,0.972681,0.930297,0.944013,0.370483,l2,3.000000,,"(1, 2)",10,1.000000,True,True,3757,0.000000,8.608082,0.038524,0.011840,"[[436, 43], [61, 1531]]"
run.2026-01-10_123,True,0.892966,0.966783,0.914405,0.959799,0.872510,0.973869,0.929875,0.941960,0.335455,l2,3.000000,,"(1, 2)",10,0.900000,True,False,6312,0.000000,9.165450,0.039771,0.011443,"[[438, 41], [64, 1528]]"
run.2026-01-10_131,True,0.892966,0.966783,0.914405,0.959799,0.872510,0.973869,0.929875,0.941960,0.335455,l2,3.000000,,"(1, 2)",10,0.950000,True,False,6312,0.000000,11.172024,0.039771,0.011443,"[[438, 41], [64, 1528]]"
run.2026-01-10_139,True,0.892966,0.966783,0.914405,0.959799,0.872510,0.973869,0.929875,0.941960,0.335455,l2,3.000000,,"(1, 2)",10,1.000000,True,False,6312,0.000000,9.421745,0.039771,0.011443,"[[438, 41], [64, 1528]]"
run.2026-01-10_076,True,0.892528,0.966825,0.910230,0.961055,0.875502,0.972664,0.929676,0.941039,0.433993,l2,5.000000,,"(1, 2)",2,0.900000,True,False,38624,1.690141,10.907511,0.039767,0.011959,"[[436, 43], [62, 1530]]"
run.2026-01-10_084,True,0.892528,0.966825,0.910230,0.961055,0.875502,0.972664,0.929676,0.941039,0.433993,l2,5.000000,,"(1, 2)",2,0.950000,True,False,38624,1.690141,11.021728,0.039767,0.011959,"[[436, 43], [62, 1530]]"
run.2026-01-10_092,True,0.892528,0.966825,0.910230,0.961055,0.875502,0.972664,0.929676,0.941039,0.433993,l2,5.000000,,"(1, 2)",2,1.000000,True,False,38624,1.690141,11.241973,0.039767,0.011959,"[[436, 43], [62, 1530]]"
run.2026-01-10_079,True,0.891393,0.966519,0.908142,0.961055,0.875252,0.972046,0.928956,0.943189,0.460946,l2,3.000000,,"(1, 2)",2,0.900000,True,True,28089,1.948806,9.252840,0.040199,0.018791,"[[435, 44], [62, 1530]]"
run.2026-01-10_087,True,0.891393,0.966519,0.908142,0.961055,0.875252,0.972046,0.928956,0.943189,0.460946,l2,3.000000,,"(1, 2)",2,0.950000,True,True,28089,1.948806,8.563791,0.040199,0.018791,"[[435, 44], [62, 1530]]"
run.2026-01-10_095,True,0.891393,0.966519,0.908142,0.961055,0.875252,0.972046,0.928956,0.943189,0.460946,l2,3.000000,,"(1, 2)",2,1.000000,True,True,28089,1.948806,9.623058,0.040199,0.018791,"[[435, 44], [62, 1530]]"
run.2026-01-10_151,True,0.891170,0.966540,0.906054,0.961683,0.876768,0.971447,0.928855,0.943260,0.487530,l2,3.000000,,"(1, 3)",2,0.900000,True,True,34331,2.092569,10.399339,0.040692,0.017919,"[[434, 45], [61, 1531]]"
run.2026-01-10_159,True,0.891170,0.966540,0.906054,0.961683,0.876768,0.971447,0.928855,0.943260,0.487530,l2,3.000000,,"(1, 3)",2,0.950000,True,True,34331,2.092569,10.611121,0.040692,0.017919,"[[434, 45], [61, 1531]]"
run.2026-01-10_167,True,0.891170,0.966540,0.906054,0.961683,0.876768,0.971447,0.928855,0.943260,0.487530,l2,3.000000,,"(1, 3)",2,1.000000,True,True,34331,2.092569,14.562370,0.040692,0.017919,"[[434, 45], [61, 1531]]"
run.2026-01-10_004,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.943812,0.485286,l2,5.000000,,"(1, 1)",2,0.900000,True,False,8377,1.198520,7.872880,0.039490,0.009186,"[[432, 47], [60, 1532]]"
run.2026-01-10_012,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.943812,0.485286,l2,5.000000,,"(1, 1)",2,0.950000,True,False,8377,1.198520,7.728070,0.039490,0.009186,"[[432, 47], [60, 1532]]"
