run_id,constraint_met,F1_neg,F1_pos,Recall_neg,Precision_neg,Macro_F1,PR_AUC_neg,threshold,kernel,C,gamma,tol,cache_size,max_iter,use_scaler,avg_support_vectors,unigram_ngram_range,unigram_min_df,unigram_stop_words,multigram_ngram_range,multigram_min_df,n_features,runtime_seconds,Brier_Score,ECE,confusion_matrix
run.2026-02-02_012,True,0.900919,0.969333,0.920668,0.882000,0.935126,0.944412,0.383157,rbf,3.000000,0.1,0.001000,1000.000000,-1,False,2584.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,93.153196,0.037001,0.006306,"[[441, 38], [59, 1533]]"
run.2026-02-02_020,True,0.899482,0.969468,0.906054,0.893004,0.934475,0.945898,0.478880,rbf,5.000000,0.1,0.001000,1000.000000,-1,False,2621.400000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,86.895726,0.036848,0.008338,"[[434, 45], [52, 1540]]"
run.2026-02-02_028,True,0.897959,0.968374,0.918580,0.878244,0.933167,0.948568,0.385199,rbf,10.000000,0.1,0.001000,1000.000000,-1,False,2664.200000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,90.455419,0.036791,0.008157,"[[440, 39], [61, 1531]]"
run.2026-02-02_018,True,0.894791,0.967436,0.914405,0.876000,0.931113,0.943508,0.381293,rbf,5.000000,scale,0.001000,1000.000000,-1,False,3943.800000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,124.060186,0.038648,0.008417,"[[438, 41], [62, 1530]]"
run.2026-02-02_002,True,0.894309,0.967068,0.918580,0.871287,0.930688,0.938492,0.346250,rbf,1.000000,scale,0.001000,1000.000000,-1,False,3781.000000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,117.530250,0.039761,0.009926,"[[440, 39], [65, 1527]]"
run.2026-02-02_010,True,0.894094,0.967089,0.916493,0.872763,0.930591,0.943047,0.364694,rbf,3.000000,scale,0.001000,1000.000000,-1,False,3941.800000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,141.426340,0.038763,0.007927,"[[439, 40], [64, 1528]]"
run.2026-02-02_030,True,0.893705,0.967539,0.903967,0.883673,0.930622,0.937880,0.391817,rbf,10.000000,0.01,0.001000,1000.000000,-1,False,2589.800000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,95.059737,0.040202,0.008996,"[[433, 46], [57, 1535]]"
run.2026-02-02_026,True,0.893661,0.967130,0.912317,0.875752,0.930395,0.943408,0.378762,rbf,10.000000,scale,0.001000,1000.000000,-1,False,3940.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,138.476721,0.038686,0.008088,"[[437, 42], [62, 1530]]"
run.2026-02-02_029,True,0.887310,0.964840,0.912317,0.863636,0.926075,0.930630,0.564368,rbf,10.000000,0.01,0.001000,1000.000000,-1,True,3594.400000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,120.418035,0.045664,0.029761,"[[437, 42], [69, 1523]]"
run.2026-02-02_021,True,0.883436,0.963970,0.901879,0.865731,0.923703,0.930230,0.590934,rbf,5.000000,0.01,0.001000,1000.000000,-1,True,3504.800000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,110.166098,0.047788,0.033024,"[[432, 47], [67, 1525]]"
run.2026-02-02_004,True,0.881937,0.962869,0.912317,0.853516,0.922403,0.933782,0.360568,rbf,1.000000,0.1,0.001000,1000.000000,-1,False,2839.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,101.092601,0.041795,0.011627,"[[437, 42], [75, 1517]]"
run.2026-02-02_013,True,0.874747,0.960660,0.903967,0.847358,0.917704,0.923551,0.533369,rbf,3.000000,0.01,0.001000,1000.000000,-1,True,3371.800000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,117.238477,0.050894,0.037997,"[[433, 46], [78, 1514]]"
run.2026-02-02_022,True,0.871897,0.958852,0.916493,0.831439,0.915374,0.928536,0.315352,rbf,5.000000,0.01,0.001000,1000.000000,-1,False,2932.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,100.127835,0.044775,0.013447,"[[439, 40], [89, 1503]]"
run.2026-02-02_014,True,0.854350,0.952228,0.912317,0.803309,0.903289,0.917707,0.303989,rbf,3.000000,0.01,0.001000,1000.000000,-1,False,3281.400000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,118.619922,0.048996,0.011807,"[[437, 42], [107, 1485]]"
run.2026-02-02_023,True,0.853491,0.952320,0.906054,0.806691,0.902905,0.908608,0.450817,rbf,5.000000,0.001,0.001000,1000.000000,-1,True,3323.200000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,113.760561,0.056288,0.040780,"[[434, 45], [104, 1488]]"
run.2026-02-02_031,True,0.852106,0.951618,0.908142,0.802583,0.901862,0.922757,0.381559,rbf,10.000000,0.001,0.001000,1000.000000,-1,True,3171.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,124.852822,0.051551,0.036290,"[[435, 44], [107, 1485]]"
run.2026-02-02_017,True,0.848837,0.949839,0.914405,0.792043,0.899338,0.898164,0.444649,rbf,5.000000,scale,0.001000,1000.000000,-1,True,4792.400000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,188.104362,0.056441,0.041638,"[[438, 41], [115, 1477]]"
run.2026-02-02_025,True,0.848723,0.950704,0.901879,0.801484,0.899714,0.900503,0.501216,rbf,10.000000,scale,0.001000,1000.000000,-1,True,4852.200000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,152.599735,0.055841,0.040938,"[[432, 47], [107, 1485]]"
run.2026-02-02_009,True,0.842105,0.948010,0.901879,0.789762,0.895058,0.891571,0.468026,rbf,3.000000,scale,0.001000,1000.000000,-1,True,4652.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,153.867677,0.058001,0.043546,"[[432, 47], [115, 1477]]"
run.2026-02-02_005,True,0.841285,0.947673,0.901879,0.788321,0.894479,0.894714,0.470531,rbf,1.000000,0.01,0.001000,1000.000000,-1,True,3112.800000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,117.384485,0.060910,0.050880,"[[432, 47], [116, 1476]]"
run.2026-02-02_015,True,0.840777,0.947301,0.903967,0.785844,0.894039,0.893882,0.430187,rbf,3.000000,0.001,0.001000,1000.000000,-1,True,3514.200000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,122.476788,0.060584,0.044289,"[[433, 46], [118, 1474]]"
run.2026-02-02_008,True,0.837209,0.945981,0.901879,0.781193,0.891595,0.908372,0.313035,rbf,1.000000,0.001,0.001000,1000.000000,-1,False,3700.000000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,124.205084,0.053851,0.011857,"[[432, 47], [121, 1471]]"
run.2026-02-02_032,True,0.836399,0.945642,0.901879,0.779783,0.891020,0.908409,0.311136,rbf,10.000000,0.001,0.001000,1000.000000,-1,False,3726.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,139.688450,0.053869,0.011648,"[[432, 47], [122, 1470]]"
run.2026-02-02_024,True,0.836399,0.945642,0.901879,0.779783,0.891020,0.908358,0.312600,rbf,5.000000,0.001,0.001000,1000.000000,-1,False,3723.200000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,120.409320,0.053891,0.011958,"[[432, 47], [122, 1470]]"
run.2026-02-02_016,True,0.836399,0.945642,0.901879,0.779783,0.891020,0.908357,0.313758,rbf,3.000000,0.001,0.001000,1000.000000,-1,False,3719.600000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,160.676555,0.053913,0.011722,"[[432, 47], [122, 1470]]"
run.2026-02-02_006,True,0.836399,0.945642,0.901879,0.779783,0.891020,0.908269,0.314183,rbf,1.000000,0.01,0.001000,1000.000000,-1,False,3729.200000,"(1, 1)",10,curated_safe,"(2, 3)",2,57587,121.495863,0.053893,0.011986,"[[432, 47], [122, 1470]]"
